# PROCESSED SYNTHETIC DATASET -- ALS baseline corrected + Savitzky-Golay smoothed
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
wavenumber_cm-1,absorbance_raw,baseline,absorbance_baseline_corrected,absorbance_smoothed,transmittance_raw_percent
3953.0,0.043749,0.022038,0.021711,0.020938,90.4172
3952.0,0.042341,0.022345,0.019996,0.020493,90.7108
3951.0,0.044667,0.022652,0.022015,0.020352,90.2263
3950.0,0.044534,0.02296,0.021574,0.020657,90.2539
3949.0,0.041232,0.023267,0.017965,0.020966,90.9427
3948.0,0.043552,0.023575,0.019977,0.020907,90.4582
3947.0,0.045804,0.023882,0.021922,0.021107,89.9903
3946.0,0.048084,0.024189,0.023895,0.020793,89.5192
3945.0,0.044539,0.024497,0.020042,0.020821,90.2529
3944.0,0.044537,0.024804,0.019733,0.021017,90.2534
3943.0,0.045195,0.025112,0.020083,0.020115,90.1167
3942.0,0.044318,0.025419,0.018899,0.019367,90.2988
3941.0,0.045652,0.025727,0.019925,0.018829,90.0219
3940.0,0.045192,0.026034,0.019158,0.0188,90.1172
3939.0,0.043284,0.026341,0.016943,0.018655,90.514
3938.0,0.045705,0.026649,0.019056,0.01821,90.0109
3937.0,0.044807,0.026956,0.017851,0.017726,90.1972
3936.0,0.044899,0.027264,0.017635,0.017277,90.1781
3935.0,0.045331,0.027571,0.01776,0.017337,90.0885
3934.0,0.043414,0.027879,0.015535,0.017204,90.4871
3933.0,0.044588,0.028186,0.016402,0.016409,90.2426
3932.0,0.046099,0.028494,0.017605,0.016613,89.9292
3931.0,0.045928,0.028801,0.017127,0.015879,89.9646
3930.0,0.043629,0.029109,0.01452,0.015804,90.4422
3929.0,0.044268,0.029416,0.014852,0.01595,90.3092
3928.0,0.04735,0.029724,0.017626,0.015667,89.6706
3927.0,0.042251,0.030031,0.01222,0.015353,90.7296
3926.0,0.04871,0.030339,0.018371,0.015266,89.3903
3925.0,0.046051,0.030646,0.015405,0.015372,89.9392
3924.0,0.045241,0.030954,0.014287,0.015184,90.107
3923.0,0.04568,0.031262,0.014418,0.014874,90.0161
3922.0,0.046301,0.031569,0.014732,0.015022,89.8874
3921.0,0.046956,0.031877,0.015079,0.014352,89.752
3920.0,0.046859,0.032184,0.014675,0.014251,89.7721
3919.0,0.046496,0.032492,0.014004,0.014262,89.8471
3918.0,0.046658,0.032799,0.013859,0.014106,89.8135
3917.0,0.046633,0.033107,0.013526,0.013637,89.8187
3916.0,0.046019,0.033415,0.012604,0.013575,89.9459
3915.0,0.048315,0.033722,0.014593,0.012856,89.4716
3914.0,0.046478,0.03403,0.012448,0.01245,89.8507
3913.0,0.045669,0.034338,0.011331,0.012102,90.0184
3912.0,0.04716,0.034645,0.012515,0.011378,89.7098
3911.0,0.043055,0.034953,0.008102,0.01062,90.5617
3910.0,0.047315,0.035261,0.012054,0.009713,89.6779
3909.0,0.045522,0.035568,0.009954,0.009408,90.0487
3908.0,0.043565,0.035876,0.007689,0.009182,90.4555
3907.0,0.045385,0.036184,0.009201,0.009645,90.0773
3906.0,0.046043,0.036492,0.009551,0.010537,89.9408
3905.0,0.047713,0.036799,0.010914,0.010624,89.5956
3904.0,0.048921,0.037107,0.011814,0.010798,89.3468
3903.0,0.051105,0.037415,0.01369,0.011249,88.8987
3902.0,0.047865,0.037723,0.010142,0.010914,89.5642
3901.0,0.046741,0.03803,0.008711,0.010407,89.7963
3900.0,0.046845,0.038338,0.008507,0.010028,89.7749
3899.0,0.050318,0.038646,0.011672,0.009306,89.0598
3898.0,0.047192,0.038954,0.008238,0.009057,89.7032
3897.0,0.048343,0.039262,0.009081,0.00885,89.4659
3896.0,0.049169,0.03957,0.009599,0.008464,89.2959
3895.0,0.046471,0.039877,0.006594,0.007764,89.8522
3894.0,0.048705,0.040185,0.00852,0.007297,89.3912
3893.0,0.045734,0.040493,0.005241,0.007576,90.0049
3892.0,0.048578,0.040801,0.007777,0.007097,89.4175
3891.0,0.048704,0.041109,0.007595,0.007668,89.3915
3890.0,0.050806,0.041417,0.009389,0.008269,88.9598
3889.0,0.049867,0.041725,0.008142,0.008307,89.1525
3888.0,0.049203,0.042033,0.00717,0.009044,89.2888
3887.0,0.054391,0.042341,0.01205,0.009283,88.2285
3886.0,0.049989,0.042649,0.00734,0.009228,89.1274
3885.0,0.051502,0.042957,0.008545,0.00885,88.8175
3884.0,0.0541,0.043265,0.010835,0.008767,88.2876
3883.0,0.051838,0.043573,0.008265,0.008577,88.7488
3882.0,0.049798,0.043881,0.005917,0.007479,89.1666
3881.0,0.051215,0.044189,0.007026,0.006806,88.876
3880.0,0.051904,0.044497,0.007407,0.005652,88.7352
3879.0,0.050571,0.044805,0.005766,0.004885,89.0079
3878.0,0.047574,0.045114,0.00246,0.00546,89.6244
3877.0,0.049461,0.045422,0.004039,0.005802,89.2357
3876.0,0.05203,0.04573,0.0063,0.005965,88.7095
3875.0,0.053675,0.046038,0.007637,0.005357,88.3741
3874.0,0.054688,0.046346,0.008342,0.005163,88.1683
3873.0,0.050039,0.046655,0.003384,0.004431,89.1171
3872.0,0.049873,0.046963,0.00291,0.003752,89.1512
3871.0,0.046453,0.047271,-0.000818,0.002997,89.856
3870.0,0.051407,0.047579,0.003828,0.002458,88.8367
3869.0,0.050097,0.047888,0.002209,0.002593,89.1052
3868.0,0.054563,0.048196,0.006367,0.00317,88.1937
3867.0,0.05146,0.048504,0.002956,0.003779,88.826
3866.0,0.051844,0.048813,0.003031,0.004316,88.7475
3865.0,0.053278,0.049121,0.004157,0.004123,88.455
3864.0,0.052686,0.049429,0.003257,0.003944,88.5756
3863.0,0.055136,0.049738,0.005398,0.003276,88.0772
3862.0,0.053343,0.050046,0.003297,0.003281,88.4417
3861.0,0.05336,0.050355,0.003005,0.00303,88.4383
3860.0,0.051781,0.050663,0.001118,0.003167,88.7603
3859.0,0.053394,0.050972,0.002422,0.00284,88.4313
3858.0,0.054653,0.05128,0.003373,0.00234,88.1754
3857.0,0.055322,0.051589,0.003733,0.002526,88.0396
3856.0,0.055546,0.051898,0.003648,0.002288,87.9941
3855.0,0.051408,0.052206,-0.000798,0.002181,88.8367
3854.0,0.054431,0.052515,0.001916,0.001597,88.2203
3853.0,0.055373,0.052823,0.00255,0.00145,88.0293
3852.0,0.053554,0.053132,0.000422,0.001437,88.3987
3851.0,0.055641,0.053441,0.0022,0.001856,87.9749
3850.0,0.055483,0.05375,0.001733,0.002861,88.0071
3849.0,0.057753,0.054058,0.003695,0.002551,87.5481
3848.0,0.056591,0.054367,0.002224,0.002237,87.7828
3847.0,0.057948,0.054676,0.003272,0.002167,87.5089
3846.0,0.057339,0.054985,0.002354,0.001666,87.6317
3845.0,0.053295,0.055293,-0.001998,0.000467,88.4514
3844.0,0.055676,0.055602,7.4e-05,-0.000151,87.9679
3843.0,0.056668,0.055911,0.000757,-0.000482,87.7672
3842.0,0.054951,0.05622,-0.001269,-0.00093,88.1148
3841.0,0.053228,0.056529,-0.003301,-0.001092,88.4652
3840.0,0.059247,0.056838,0.002409,-0.000524,87.2475
3839.0,0.055744,0.057147,-0.001403,-0.000552,87.9542
3838.0,0.056194,0.057456,-0.001262,-0.00044,87.8629
3837.0,0.057373,0.057765,-0.000392,4.3e-05,87.6249
3836.0,0.059938,0.058074,0.001864,0.000174,87.1088
3835.0,0.057685,0.058383,-0.000698,-0.000747,87.5619
3834.0,0.058073,0.058692,-0.000619,-0.000149,87.4837
3833.0,0.059006,0.059001,5e-06,-0.000185,87.2959
3832.0,0.057837,0.05931,-0.001473,-0.000504,87.5312
3831.0,0.057832,0.059619,-0.001787,-0.000518,87.5322
3830.0,0.062722,0.059928,0.002794,-0.000446,86.5521
3829.0,0.058737,0.060238,-0.001501,-0.000293,87.3499
3828.0,0.0596,0.060547,-0.000947,-0.000574,87.1766
3827.0,0.061167,0.060856,0.000311,-0.000546,86.8626
3826.0,0.059259,0.061165,-0.001906,-0.000723,87.2451
3825.0,0.061842,0.061474,0.000368,-0.000557,86.7278
3824.0,0.059623,0.061783,-0.00216,3e-06,87.1721
3823.0,0.062874,0.062093,0.000781,-0.000297,86.5219
3822.0,0.06284,0.062402,0.000438,-0.0007,86.5287
3821.0,0.063954,0.062711,0.001243,-0.000913,86.3069
3820.0,0.059688,0.06302,-0.003332,-0.001499,87.159
3819.0,0.060153,0.063329,-0.003176,-0.001383,87.0656
3818.0,0.062013,0.063638,-0.001625,-0.001695,86.6936
3817.0,0.062939,0.063948,-0.001009,-0.001198,86.5089
3816.0,0.063985,0.064257,-0.000272,-0.000583,86.3008
3815.0,0.066149,0.064566,0.001583,0.000655,85.8719
3814.0,0.065336,0.064875,0.000461,0.001716,86.0328
3813.0,0.067593,0.065184,0.002409,0.001757,85.5869
3812.0,0.066757,0.065493,0.001264,0.001751,85.7517
3811.0,0.068493,0.065802,0.002691,0.001186,85.4097
3810.0,0.06812,0.066111,0.002009,0.000611,85.483
3809.0,0.063651,0.06642,-0.002769,-3e-05,86.3672
3808.0,0.066763,0.066729,3.4e-05,-0.000259,85.7507
3807.0,0.065435,0.067038,-0.001603,-0.000496,86.0131
3806.0,0.067684,0.067347,0.000337,-0.000612,85.5689
3805.0,0.067248,0.067656,-0.000408,-0.000138,85.6548
3804.0,0.070319,0.067964,0.002355,0.000457,85.0513
3803.0,0.067026,0.068273,-0.001247,0.000615,85.6986
3802.0,0.069741,0.068582,0.001159,0.001092,85.1646
3801.0,0.070094,0.06889,0.001204,0.000867,85.0954
3800.0,0.069715,0.069199,0.000516,0.000849,85.1697
3799.0,0.071305,0.069507,0.001798,0.000376,84.8585
3798.0,0.070181,0.069816,0.000365,0.000451,85.0784
3797.0,0.068853,0.070124,-0.001271,0.000283,85.3389
3796.0,0.070605,0.070432,0.000173,-0.000521,84.9952
3795.0,0.069788,0.07074,-0.000952,-0.000575,85.1555
3794.0,0.071661,0.071048,0.000613,-0.00028,84.7889
3793.0,0.071434,0.071356,7.8e-05,3e-06,84.8333
3792.0,0.068561,0.071664,-0.003103,0.000404,85.3963
3791.0,0.075733,0.071972,0.003761,0.000238,83.9976
3790.0,0.073854,0.07228,0.001574,0.000342,84.3618
3789.0,0.071509,0.072587,-0.001078,0.000749,84.8185
3788.0,0.073805,0.072895,0.00091,0.001058,84.3713
3787.0,0.072921,0.073202,-0.000281,0.001558,84.5432
3786.0,0.07587,0.07351,0.00236,0.000672,83.9712
3785.0,0.077137,0.073817,0.00332,0.001224,83.7264
3784.0,0.074329,0.074124,0.000205,0.001749,84.2696
3783.0,0.076296,0.074431,0.001865,0.001477,83.8888
3782.0,0.074086,0.074737,-0.000651,0.001967,84.3168
3781.0,0.079537,0.075044,0.004493,0.00198,83.2651
3780.0,0.077591,0.07535,0.002241,0.002752,83.6391
3779.0,0.077707,0.075657,0.00205,0.003743,83.6167
3778.0,0.08207,0.075963,0.006107,0.004096,82.7808
3777.0,0.079702,0.076269,0.003433,0.004606,83.2335
3776.0,0.082345,0.076575,0.00577,0.003741,82.7285
3775.0,0.080003,0.07688,0.003123,0.003463,83.1757
3774.0,0.079616,0.077186,0.00243,0.002604,83.25
3773.0,0.079817,0.077491,0.002326,0.001796,83.2115
3772.0,0.077091,0.077797,-0.000706,0.002146,83.7354
3771.0,0.080688,0.078102,0.002586,0.001816,83.0447
3770.0,0.080547,0.078406,0.002141,0.0023,83.0717
3769.0,0.083481,0.078711,0.00477,0.00302,82.5124
3768.0,0.083935,0.079015,0.00492,0.004061,82.4261
3767.0,0.081115,0.07932,0.001795,0.005044,82.9631
3766.0,0.085772,0.079624,0.006148,0.005394,82.0782
3765.0,0.087114,0.079928,0.007186,0.006336,81.8249
3764.0,0.087506,0.080231,0.007275,0.006629,81.7512
3763.0,0.086771,0.080535,0.006236,0.00705,81.8896
3762.0,0.088331,0.080838,0.007493,0.007663,81.5961
3761.0,0.089665,0.081141,0.008524,0.006986,81.3458
3760.0,0.08678,0.081444,0.005336,0.006677,81.888
3759.0,0.088613,0.081746,0.006867,0.00685,81.5431
3758.0,0.089302,0.082048,0.007254,0.006555,81.4137
3757.0,0.086904,0.08235,0.004554,0.005982,81.8647
3756.0,0.090071,0.082652,0.007419,0.006194,81.2698
3755.0,0.090431,0.082954,0.007477,0.006758,81.2025
3754.0,0.087425,0.083255,0.00417,0.006558,81.7663
3753.0,0.090709,0.083556,0.007153,0.006925,81.1505
3752.0,0.093603,0.083857,0.009746,0.007369,80.6116
3751.0,0.091035,0.084157,0.006878,0.00777,81.0896
3750.0,0.090761,0.084457,0.006304,0.007918,81.1408
3749.0,0.094447,0.084757,0.00969,0.008169,80.455
3748.0,0.093278,0.085057,0.008221,0.007901,80.6719
3747.0,0.094788,0.085357,0.009431,0.008412,80.3919
3746.0,0.091749,0.085656,0.006093,0.009156,80.9563
3745.0,0.095631,0.085954,0.009677,0.009502,80.236
3744.0,0.097403,0.086253,0.01115,0.010224,79.9092
3743.0,0.099407,0.086551,0.012856,0.011418,79.5414
3742.0,0.096956,0.086849,0.010107,0.012019,79.9916
3741.0,0.099592,0.087147,0.012445,0.012707,79.5075
3740.0,0.102719,0.087444,0.015275,0.012657,78.937
3739.0,0.100022,0.087741,0.012281,0.012351,79.4289
3738.0,0.099085,0.088038,0.011047,0.012833,79.6004
3737.0,0.101467,0.088334,0.013133,0.013796,79.165
3736.0,0.102119,0.08863,0.013489,0.013784,79.0462
3735.0,0.102346,0.088926,0.01342,0.013716,79.0048
3734.0,0.1071,0.089221,0.017879,0.014308,78.1448
3733.0,0.104092,0.089516,0.014576,0.014713,78.688
3732.0,0.101563,0.08981,0.011753,0.014125,79.1475
3731.0,0.103732,0.090105,0.013627,0.01407,78.7531
3730.0,0.105501,0.090399,0.015102,0.013839,78.433
3729.0,0.105055,0.090692,0.014363,0.01386,78.5137
3728.0,0.103447,0.090985,0.012462,0.014706,78.8049
3727.0,0.108342,0.091278,0.017064,0.015501,77.9215
3726.0,0.106941,0.091571,0.01537,0.01594,78.1733
3725.0,0.109573,0.091863,0.01771,0.016525,77.701
3724.0,0.108983,0.092154,0.016829,0.017627,77.8067
3723.0,0.110609,0.092446,0.018163,0.018707,77.5159
3722.0,0.111833,0.092737,0.019096,0.019227,77.2977
3721.0,0.113024,0.093027,0.019997,0.020082,77.0861
3720.0,0.114883,0.093317,0.021566,0.019951,76.7569
3719.0,0.11436,0.093607,0.020753,0.020445,76.8493
3718.0,0.114113,0.093896,0.020217,0.020471,76.893
3717.0,0.113744,0.094185,0.019559,0.020563,76.9584
3716.0,0.11329,0.094474,0.018816,0.020804,77.0389
3715.0,0.118068,0.094762,0.023306,0.020719,76.1961
3714.0,0.115898,0.095049,0.020849,0.02122,76.5776
3713.0,0.11758,0.095337,0.022243,0.021681,76.2816
3712.0,0.117768,0.095623,0.022145,0.022197,76.2486
3711.0,0.116729,0.09591,0.020819,0.022866,76.4313
3710.0,0.120187,0.096195,0.023992,0.022882,75.825
3709.0,0.119592,0.096481,0.023111,0.022692,75.9291
3708.0,0.121054,0.096766,0.024288,0.023142,75.6738
3707.0,0.121654,0.09705,0.024604,0.023882,75.5693
3706.0,0.11923,0.097335,0.021895,0.024912,75.9924
3705.0,0.120397,0.097618,0.022779,0.025496,75.7885
3704.0,0.128569,0.097901,0.030668,0.026642,74.3758
3703.0,0.125985,0.098184,0.027801,0.027725,74.8196
3702.0,0.127236,0.098466,0.02877,0.028215,74.6044
3701.0,0.126496,0.098748,0.027748,0.028459,74.7315
3700.0,0.128172,0.099029,0.029143,0.028174,74.4437
3699.0,0.127003,0.09931,0.027693,0.027119,74.6443
3698.0,0.124626,0.09959,0.025036,0.027662,75.054
3697.0,0.127841,0.09987,0.027971,0.028088,74.5005
3696.0,0.129984,0.100149,0.029835,0.029308,74.1337
3695.0,0.12974,0.100428,0.029312,0.030388,74.1754
3694.0,0.134453,0.100706,0.033747,0.031734,73.3748
3693.0,0.133737,0.100984,0.032753,0.033262,73.4959
3692.0,0.136211,0.101261,0.03495,0.033848,73.0785
3691.0,0.134528,0.101538,0.03299,0.034324,73.3621
3690.0,0.136241,0.101814,0.034427,0.034607,73.0734
3689.0,0.138033,0.102089,0.035944,0.034183,72.7724
3688.0,0.136152,0.102365,0.033787,0.034479,73.0883
3687.0,0.137446,0.102639,0.034807,0.034962,72.8708
3686.0,0.137726,0.102913,0.034813,0.036123,72.8239
3685.0,0.138888,0.103187,0.035701,0.036826,72.6293
3684.0,0.142716,0.103459,0.039257,0.037668,71.992
3683.0,0.14394,0.103732,0.040208,0.038733,71.7893
3682.0,0.144224,0.104004,0.04022,0.039935,71.7424
3681.0,0.143142,0.104275,0.038867,0.04084,71.9214
3680.0,0.145306,0.104545,0.040761,0.041191,71.5639
3679.0,0.146668,0.104816,0.041852,0.041096,71.3397
3678.0,0.149031,0.105085,0.043946,0.041605,70.9526
3677.0,0.146438,0.105354,0.041084,0.042678,71.3776
3676.0,0.147349,0.105622,0.041727,0.043477,71.228
3675.0,0.149371,0.10589,0.043481,0.043913,70.8972
3674.0,0.152613,0.106157,0.046456,0.044387,70.3698
3673.0,0.153007,0.106424,0.046583,0.044858,70.3061
3672.0,0.150874,0.10669,0.044184,0.046005,70.6522
3671.0,0.153059,0.106955,0.046104,0.046722,70.2976
3670.0,0.154146,0.10722,0.046926,0.047553,70.1219
3669.0,0.15563,0.107484,0.048146,0.04822,69.8828
3668.0,0.158262,0.107748,0.050514,0.049097,69.4605
3667.0,0.158236,0.10801,0.050226,0.050093,69.4647
3666.0,0.159857,0.108273,0.051584,0.050626,69.2059
3665.0,0.158645,0.108534,0.050111,0.051624,69.3994
3664.0,0.159968,0.108795,0.051173,0.05225,69.1881
3663.0,0.162069,0.109056,0.053013,0.052534,68.8543
3662.0,0.163589,0.109315,0.054274,0.053685,68.6137
3661.0,0.165667,0.109574,0.056093,0.054734,68.2862
3660.0,0.163381,0.109833,0.053548,0.055445,68.6466
3659.0,0.165286,0.110091,0.055195,0.055549,68.3461
3658.0,0.169316,0.110348,0.058968,0.055708,67.7148
3657.0,0.166452,0.110604,0.055848,0.056679,68.1629
3656.0,0.165795,0.11086,0.054935,0.057749,68.2661
3655.0,0.16897,0.111115,0.057855,0.05927,67.7688
3654.0,0.172975,0.11137,0.061605,0.060044,67.1468
3653.0,0.175801,0.111623,0.064178,0.060875,66.7113
3652.0,0.17351,0.111876,0.061634,0.062314,67.064
3651.0,0.174776,0.112129,0.062647,0.063511,66.8689
3650.0,0.174405,0.11238,0.062025,0.064075,66.926
3649.0,0.177454,0.112631,0.064823,0.064376,66.4578
3648.0,0.178781,0.112882,0.065899,0.064856,66.2551
3647.0,0.180108,0.113131,0.066977,0.06576,66.0529
3646.0,0.179315,0.11338,0.065935,0.06626,66.1736
3645.0,0.179603,0.113628,0.065975,0.066986,66.1297
3644.0,0.18077,0.113876,0.066894,0.06723,65.9523
3643.0,0.182117,0.114123,0.067994,0.067766,65.748
3642.0,0.183214,0.114369,0.068845,0.068619,65.5822
3641.0,0.185165,0.114614,0.070551,0.069978,65.2883
3640.0,0.184854,0.114858,0.069996,0.071314,65.335
3639.0,0.18749,0.115102,0.072388,0.072349,64.9397
3638.0,0.189372,0.115345,0.074027,0.073706,64.6588
3637.0,0.190848,0.115588,0.07526,0.074286,64.4395
3636.0,0.190985,0.115829,0.075156,0.07473,64.4192
3635.0,0.191274,0.11607,0.075204,0.075733,64.3763
3634.0,0.193535,0.11631,0.077225,0.076593,64.042
3633.0,0.190617,0.11655,0.074067,0.077482,64.4737
3632.0,0.195827,0.116788,0.079039,0.078575,63.7049
3631.0,0.19898,0.117026,0.081954,0.079338,63.2442
3630.0,0.198137,0.117263,0.080874,0.080092,63.367
3629.0,0.198015,0.117499,0.080516,0.080885,63.3847
3628.0,0.19897,0.117735,0.081235,0.082045,63.2456
3627.0,0.198249,0.117969,0.08028,0.082256,63.3507
3626.0,0.202167,0.118203,0.083964,0.083248,62.7816
3625.0,0.203975,0.118437,0.085538,0.084508,62.5209
3624.0,0.204945,0.118669,0.086276,0.085725,62.3814
3623.0,0.205132,0.1189,0.086232,0.087249,62.3545
3622.0,0.208417,0.119131,0.089286,0.088693,61.8847
3621.0,0.207259,0.119361,0.087898,0.089194,62.0498
3620.0,0.21002,0.11959,0.09043,0.089683,61.6566
3619.0,0.212365,0.119819,0.092546,0.090444,61.3246
3618.0,0.210701,0.120046,0.090655,0.091303,61.56
3617.0,0.210108,0.120273,0.089835,0.091892,61.6441
3616.0,0.213033,0.120499,0.092534,0.09297,61.2303
3615.0,0.215845,0.120724,0.095121,0.093934,60.8352
3614.0,0.216423,0.120948,0.095475,0.094863,60.7543
3613.0,0.217152,0.121171,0.095981,0.096515,60.6524
3612.0,0.219475,0.121394,0.098081,0.097727,60.3289
3611.0,0.220459,0.121615,0.098844,0.098934,60.1924
3610.0,0.220554,0.121836,0.098718,0.100021,60.1791
3609.0,0.224301,0.122056,0.102245,0.100864,59.6621
3608.0,0.223944,0.122275,0.101669,0.10194,59.7112
3607.0,0.227124,0.122494,0.10463,0.10322,59.2757
3606.0,0.225603,0.122711,0.102892,0.104602,59.4836
3605.0,0.226789,0.122928,0.103861,0.10579,59.3213
3604.0,0.231636,0.123143,0.108493,0.106561,58.663
3603.0,0.232459,0.123358,0.109101,0.107545,58.5519
3602.0,0.231705,0.123572,0.108133,0.10848,58.6536
3601.0,0.232126,0.123785,0.108341,0.109432,58.5969
3600.0,0.233333,0.123997,0.109336,0.109674,58.4342
3599.0,0.23476,0.124209,0.110551,0.109763,58.2426
3598.0,0.236259,0.124419,0.11184,0.110604,58.0419
3597.0,0.23522,0.124629,0.110591,0.112248,58.1809
3596.0,0.23706,0.124837,0.112223,0.113812,57.9349
3595.0,0.240595,0.125045,0.11555,0.11526,57.4652
3594.0,0.243243,0.125252,0.117991,0.116835,57.1159
3593.0,0.245643,0.125458,0.120185,0.118584,56.8011
3592.0,0.244459,0.125663,0.118796,0.119929,56.9563
3591.0,0.24592,0.125867,0.120053,0.120498,56.7649
3590.0,0.247914,0.12607,0.121844,0.120919,56.5048
3589.0,0.248297,0.126272,0.122025,0.121715,56.4551
3588.0,0.246946,0.126473,0.120473,0.12212,56.631
3587.0,0.24941,0.126674,0.122736,0.123122,56.3106
3586.0,0.252274,0.126873,0.125401,0.124291,55.9404
3585.0,0.252997,0.127072,0.125925,0.125002,55.8475
3584.0,0.251263,0.127269,0.123994,0.126099,56.0709
3583.0,0.256184,0.127466,0.128718,0.127271,55.439
3582.0,0.256702,0.127662,0.12904,0.128098,55.373
3581.0,0.254646,0.127856,0.12679,0.128874,55.6357
3580.0,0.258948,0.12805,0.130898,0.130281,55.0873
3579.0,0.259742,0.128243,0.131499,0.131626,54.9867
3578.0,0.261127,0.128435,0.132692,0.132655,54.8117
3577.0,0.262281,0.128626,0.133655,0.133875,54.6662
3576.0,0.265008,0.128816,0.136192,0.134863,54.3241
3575.0,0.264227,0.129005,0.135222,0.135322,54.4218
3574.0,0.266137,0.129193,0.136944,0.136651,54.183
3573.0,0.265244,0.12938,0.135864,0.137421,54.2945
3572.0,0.267238,0.129566,0.137672,0.138562,54.0458
3571.0,0.27064,0.129751,0.140889,0.139742,53.6241
3570.0,0.273182,0.129935,0.143247,0.141681,53.3111
3569.0,0.270727,0.130118,0.140609,0.14335,53.6133
3568.0,0.275982,0.130301,0.145681,0.144533,52.9686
3567.0,0.276374,0.130482,0.145892,0.145501,52.9207
3566.0,0.278612,0.130662,0.14795,0.146187,52.6487
3565.0,0.276907,0.130841,0.146066,0.14714,52.8559
3564.0,0.276844,0.131019,0.145825,0.148062,52.8635
3563.0,0.281359,0.131196,0.150163,0.148562,52.3168
3562.0,0.281167,0.131372,0.149795,0.150097,52.3399
3561.0,0.28297,0.131547,0.151423,0.151183,52.1231
3560.0,0.283223,0.131722,0.151501,0.152698,52.0927
3559.0,0.286949,0.131895,0.155054,0.153924,51.6477
3558.0,0.288453,0.132067,0.156386,0.154621,51.4692
3557.0,0.285711,0.132238,0.153473,0.155588,51.7952
3556.0,0.289485,0.132408,0.157077,0.156796,51.347
3555.0,0.290199,0.132577,0.157622,0.157786,51.2627
3554.0,0.290783,0.132745,0.158038,0.158383,51.1937
3553.0,0.292819,0.132912,0.159907,0.159478,50.9543
3552.0,0.295483,0.133077,0.162406,0.160905,50.6428
3551.0,0.293626,0.133242,0.160384,0.162288,50.8598
3550.0,0.295711,0.133406,0.162305,0.162845,50.6161
3549.0,0.298348,0.133569,0.164779,0.163447,50.3097
3548.0,0.299359,0.13373,0.165629,0.164529,50.1928
3547.0,0.300533,0.133891,0.166642,0.165588,50.0573
3546.0,0.296184,0.134051,0.162133,0.167585,50.561
