# PROCESSED SYNTHETIC DATASET -- ALS background subtracted, Savitzky-Golay smoothed
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
two_theta_deg,intensity_raw_counts,background_counts,intensity_bg_subtracted_counts,intensity_smoothed_counts
21.6,234.0,183.91,50.09,37.65
21.62,226.0,183.96,42.04,36.58
21.64,227.0,184.02,42.98,32.64
21.66,214.0,184.08,29.92,31.62
21.68,220.0,184.14,35.86,30.6
21.7,200.0,184.2,15.8,30.2
21.72,221.0,184.25,36.75,33.31
21.74,224.0,184.31,39.69,35.96
21.76,206.0,184.37,21.63,37.86
21.78,211.0,184.43,26.57,38.39
21.8,210.0,184.49,25.51,36.83
21.82,222.0,184.54,37.46,37.84
21.84,245.0,184.6,60.4,36.85
21.86,220.0,184.66,35.34,38.39
21.88,249.0,184.72,64.28,37.38
21.9,215.0,184.78,30.22,37.97
21.92,233.0,184.84,48.16,39.73
21.94,240.0,184.89,55.11,39.4
21.96,233.0,184.95,48.05,38.9
21.98,195.0,185.01,9.99,38.49
22.0,206.0,185.07,20.93,38.08
22.02,207.0,185.13,21.87,37.92
22.04,238.0,185.19,52.81,37.38
22.06,213.0,185.24,27.76,35.48
22.08,228.0,185.3,42.7,36.18
22.1,209.0,185.36,23.64,39.03
22.12,250.0,185.42,64.58,40.07
22.14,235.0,185.48,49.52,42.26
22.16,201.0,185.54,15.46,42.06
22.18,239.0,185.59,53.41,43.11
22.2,220.0,185.65,34.35,45.85
22.22,237.0,185.71,51.29,46.1
22.24,247.0,185.77,61.23,44.88
22.26,226.0,185.83,40.17,42.78
22.28,232.0,185.89,46.11,41.55
22.3,254.0,185.95,68.05,41.24
22.32,223.0,186.0,37.0,38.08
22.34,208.0,186.06,21.94,36.14
22.36,208.0,186.12,21.88,32.49
22.38,216.0,186.18,29.82,33.26
22.4,222.0,186.24,35.76,34.28
22.42,217.0,186.3,30.7,31.93
22.44,194.0,186.36,7.64,31.45
22.46,229.0,186.42,42.58,28.37
22.48,211.0,186.48,24.52,29.51
22.5,226.0,186.53,39.47,29.97
22.52,202.0,186.59,15.41,30.24
22.54,211.0,186.65,24.35,29.21
22.56,234.0,186.71,47.29,32.32
22.58,232.0,186.77,45.23,35.2
22.6,245.0,186.83,58.17,35.91
22.62,218.0,186.89,31.11,35.33
22.64,201.0,186.95,14.05,35.77
22.66,215.0,187.01,27.99,37.31
22.68,219.0,187.07,31.93,37.02
22.7,251.0,187.13,63.87,35.95
22.72,202.0,187.18,14.82,37.52
22.74,229.0,187.24,41.76,37.54
22.76,218.0,187.3,30.7,37.93
22.78,255.0,187.36,67.64,37.43
22.8,225.0,187.42,37.58,36.29
22.82,202.0,187.48,14.52,36.15
22.84,217.0,187.54,29.46,36.98
22.86,236.0,187.6,48.4,39.79
22.88,228.0,187.66,40.34,40.36
22.9,215.0,187.72,27.28,39.22
22.92,242.0,187.78,54.22,37.8
22.94,231.0,187.84,43.16,37.5
22.96,218.0,187.9,30.1,39.24
22.98,223.0,187.96,35.04,39.46
23.0,231.0,188.02,42.98,39.32
23.02,218.0,188.08,29.92,37.26
23.04,230.0,188.14,41.86,37.2
23.06,239.0,188.2,50.8,36.01
23.08,227.0,188.26,38.74,34.19
23.1,210.0,188.32,21.68,33.26
23.12,219.0,188.38,30.62,33.02
23.14,223.0,188.44,34.56,33.33
23.16,237.0,188.5,48.5,32.48
23.18,220.0,188.56,31.44,34.5
23.2,220.0,188.62,31.38,35.4
23.22,175.0,188.68,-13.68,35.48
23.24,208.0,188.74,19.26,34.01
23.26,226.0,188.8,37.2,32.23
23.28,239.0,188.86,50.14,31.73
23.3,241.0,188.93,52.07,32.9
23.32,229.0,188.99,40.01,34.08
23.34,224.0,189.05,34.95,34.98
23.36,234.0,189.11,44.89,34.18
23.38,221.0,189.17,31.83,34.15
23.4,225.0,189.23,35.77,32.3
23.42,202.0,189.29,12.71,32.05
23.44,207.0,189.35,17.65,32.32
23.46,201.0,189.41,11.59,31.01
23.48,228.0,189.47,38.53,25.97
23.5,250.0,189.54,60.46,22.78
23.52,222.0,189.6,32.4,22.28
23.54,203.0,189.66,13.34,23.04
23.56,211.0,189.72,21.28,23.12
23.58,203.0,189.78,13.22,24.52
23.6,208.0,189.84,18.16,24.91
23.62,195.0,189.9,5.1,26.92
23.64,227.0,189.96,37.04,29.21
23.66,221.0,190.03,30.97,28.71
23.68,196.0,190.09,5.91,28.76
23.7,219.0,190.15,28.85,27.53
23.72,251.0,190.21,60.79,25.74
23.74,242.0,190.27,51.73,27.08
23.76,218.0,190.33,27.67,30.25
23.78,213.0,190.4,22.6,33.4
23.8,236.0,190.46,45.54,32.97
23.82,210.0,190.52,19.48,33.45
23.84,224.0,190.58,33.42,34.66
23.86,211.0,190.64,20.36,33.68
23.88,187.0,190.71,-3.71,32.17
23.9,243.0,190.77,52.23,32.29
23.92,214.0,190.83,23.17,31.26
23.94,238.0,190.89,47.11,30.55
23.96,244.0,190.95,53.05,29.44
23.98,222.0,191.02,30.98,29.42
24.0,222.0,191.08,30.92,30.49
24.02,197.0,191.14,5.86,29.77
24.04,233.0,191.2,41.8,27.25
24.06,225.0,191.26,33.74,28.15
24.08,196.0,191.33,4.67,27.64
24.1,228.0,191.39,36.61,27.97
24.12,217.0,191.45,25.55,25.86
24.14,216.0,191.51,24.49,23.47
24.16,231.0,191.58,39.42,23.48
24.18,187.0,191.64,-4.64,22.38
24.2,207.0,191.7,15.3,22.53
24.22,225.0,191.76,33.24,23.05
24.24,207.0,191.82,15.18,23.18
24.26,214.0,191.89,22.11,23.26
24.28,241.0,191.95,49.05,21.65
24.3,213.0,192.01,20.99,23.28
24.32,209.0,192.07,16.93,24.67
24.34,204.0,192.14,11.86,24.06
24.36,231.0,192.2,38.8,25.49
24.38,209.0,192.26,16.74,25.23
24.4,219.0,192.32,26.68,25.77
24.42,211.0,192.39,18.61,27.36
24.44,216.0,192.45,23.55,27.13
24.46,227.0,192.51,34.49,25.7
24.48,221.0,192.57,28.43,28.07
24.5,227.0,192.64,34.36,26.2
24.52,232.0,192.7,39.3,26.57
24.54,216.0,192.76,23.24,28.5
24.56,216.0,192.82,23.18,29.41
24.58,217.0,192.88,24.12,28.38
24.6,212.0,192.95,19.05,28.84
24.62,233.0,193.01,39.99,31.61
24.64,222.0,193.07,28.93,31.91
24.66,224.0,193.13,30.87,31.78
24.68,212.0,193.2,18.8,30.6
24.7,243.0,193.26,49.74,29.63
24.72,197.0,193.32,3.68,29.14
24.74,249.0,193.38,55.62,28.72
24.76,221.0,193.45,27.55,27.68
24.78,226.0,193.51,32.49,29.03
24.8,218.0,193.57,24.43,28.58
24.82,247.0,193.63,53.37,26.88
24.84,215.0,193.69,21.31,26.8
24.86,195.0,193.76,1.24,24.88
24.88,205.0,193.82,11.18,24.6
24.9,215.0,193.88,21.12,22.88
24.92,221.0,193.94,27.06,23.55
24.94,219.0,194.0,25.0,21.25
24.96,222.0,194.07,27.93,22.91
24.98,215.0,194.13,20.87,20.59
25.0,234.0,194.19,39.81,21.67
25.02,202.0,194.25,7.75,22.26
25.04,212.0,194.31,17.69,24.22
25.06,232.0,194.37,37.63,26.31
25.08,204.0,194.44,9.56,28.25
25.1,225.0,194.5,30.5,29.28
25.12,221.0,194.56,26.44,28.74
25.14,241.0,194.62,46.38,30.19
25.16,206.0,194.68,11.32,31.89
25.18,244.0,194.74,49.26,32.89
25.2,216.0,194.81,21.19,33.3
25.22,238.0,194.87,43.13,33.86
25.24,242.0,194.93,47.07,33.58
25.26,234.0,194.99,39.01,34.13
25.28,219.0,195.05,23.95,33.72
25.3,205.0,195.11,9.89,31.77
25.32,242.0,195.17,46.83,31.31
25.34,236.0,195.23,40.77,29.53
25.36,242.0,195.29,46.71,27.11
25.38,211.0,195.36,15.64,25.58
25.4,205.0,195.42,9.58,26.48
25.42,215.0,195.48,19.52,23.33
25.44,219.0,195.54,23.46,24.38
25.46,216.0,195.6,20.4,23.27
25.48,219.0,195.66,23.34,24.08
25.5,224.0,195.72,28.28,24.65
25.52,202.0,195.78,6.22,25.17
25.54,228.0,195.84,32.16,24.85
25.56,224.0,195.9,28.1,22.43
25.58,214.0,195.96,18.04,23.4
25.6,244.0,196.02,47.98,24.88
25.62,230.0,196.08,33.92,28.07
25.64,211.0,196.14,14.86,29.22
25.66,244.0,196.2,47.8,29.18
25.68,215.0,196.26,18.74,30.3
25.7,223.0,196.32,26.68,31.15
25.72,212.0,196.38,15.62,33.05
25.74,225.0,196.44,28.56,33.8
25.76,225.0,196.5,28.5,33.27
25.78,227.0,196.56,30.44,31.64
25.8,250.0,196.62,53.38,31.78
25.82,239.0,196.68,42.32,29.64
25.84,236.0,196.74,39.26,30.07
25.86,222.0,196.8,25.2,30.72
25.88,226.0,196.85,29.15,31.69
25.9,236.0,196.91,39.09,30.21
25.92,223.0,196.97,26.03,31.56
25.94,228.0,197.03,30.97,30.75
25.96,200.0,197.09,2.91,30.16
25.98,211.0,197.15,13.85,28.75
26.0,235.0,197.21,37.79,28.0
26.02,229.0,197.26,31.74,25.68
26.04,221.0,197.32,23.68,24.49
26.06,260.0,197.38,62.62,25.72
26.08,207.0,197.44,9.56,26.0
26.1,231.0,197.5,33.5,25.93
26.12,214.0,197.55,16.45,26.98
26.14,232.0,197.61,34.39,28.3
26.16,218.0,197.67,20.33,28.53
26.18,224.0,197.73,26.27,30.94
26.2,225.0,197.78,27.22,33.53
26.22,223.0,197.84,25.16,32.52
26.24,220.0,197.9,22.1,31.74
26.26,248.0,197.95,50.05,33.46
26.28,237.0,198.01,38.99,34.39
26.3,226.0,198.07,27.93,35.35
26.32,240.0,198.12,41.88,38.01
26.34,255.0,198.18,56.82,37.38
26.36,229.0,198.24,30.76,38.28
26.38,227.0,198.29,28.71,37.99
26.4,263.0,198.35,64.65,37.41
26.42,219.0,198.41,20.59,35.43
26.44,215.0,198.46,16.54,32.95
26.46,240.0,198.52,41.48,31.78
26.48,242.0,198.57,43.43,30.48
26.5,222.0,198.63,23.37,26.74
26.52,227.0,198.68,28.32,25.42
26.54,212.0,198.74,13.26,23.98
26.56,222.0,198.79,23.21,21.4
26.58,222.0,198.85,23.15,20.52
26.6,212.0,198.9,13.1,20.66
26.62,204.0,198.96,5.04,18.77
26.64,218.0,199.01,18.99,18.21
26.66,223.0,199.07,23.93,19.88
26.68,235.0,199.12,35.88,19.46
26.7,211.0,199.18,11.82,17.21
26.72,201.0,199.23,1.77,17.41
26.74,232.0,199.28,32.72,18.94
26.76,223.0,199.34,23.66,20.34
26.78,218.0,199.39,18.61,21.83
26.8,227.0,199.44,27.56,21.26
26.82,214.0,199.5,14.5,20.96
26.84,218.0,199.55,18.45,22.0
26.86,234.0,199.6,34.4,22.51
26.88,212.0,199.66,12.34,21.31
26.9,217.0,199.71,17.29,20.37
26.92,213.0,199.76,13.24,21.73
26.94,240.0,199.81,40.19,23.54
26.96,233.0,199.87,33.13,22.12
26.98,224.0,199.92,24.08,22.37
27.0,209.0,199.97,9.03,24.91
27.02,210.0,200.02,9.98,26.65
27.04,229.0,200.07,28.93,27.65
27.06,239.0,200.13,38.87,27.99
27.08,221.0,200.18,20.82,26.33
27.1,218.0,200.23,17.77,26.24
27.12,235.0,200.28,34.72,27.19
27.14,248.0,200.33,47.67,27.0
27.16,218.0,200.38,17.62,26.62
27.18,224.0,200.43,23.57,24.97
27.2,261.0,200.48,60.52,24.7
27.22,223.0,200.53,22.47,26.87
27.24,209.0,200.58,8.42,25.45
27.26,208.0,200.63,7.37,23.99
27.28,207.0,200.68,6.32,24.36
27.3,223.0,200.73,22.27,24.53
27.32,246.0,200.78,45.22,25.33
27.34,225.0,200.83,24.17,25.87
27.36,224.0,200.88,23.12,24.61
27.38,219.0,200.93,18.07,24.12
27.4,221.0,200.98,20.02,24.2
27.42,235.0,201.02,33.98,22.73
27.44,245.0,201.07,43.93,21.84
27.46,200.0,201.12,-1.12,25.51
27.48,253.0,201.17,51.83,25.83
27.5,244.0,201.22,42.78,26.3
27.52,207.0,201.26,5.74,27.24
27.54,221.0,201.31,19.69,26.53
27.56,221.0,201.36,19.64,26.24
27.58,203.0,201.4,1.6,26.15
27.6,222.0,201.45,20.55,25.57
27.62,226.0,201.5,24.5,24.25
27.64,239.0,201.54,37.46,24.24
27.66,244.0,201.59,42.41,24.05
27.68,246.0,201.64,44.36,23.65
27.7,216.0,201.68,14.32,23.78
27.72,241.0,201.73,39.27,21.02
27.74,223.0,201.77,21.23,22.86
27.76,199.0,201.82,-2.82,25.52
27.78,213.0,201.86,11.14,24.16
27.8,212.0,201.91,10.09,23.68
27.82,234.0,201.95,32.05,23.92
27.84,227.0,202.0,25.0,20.83
27.86,241.0,202.04,38.96,19.63
27.88,213.0,202.09,10.91,17.89
27.9,210.0,202.13,7.87,18.16
27.92,225.0,202.17,22.83,19.88
27.94,234.0,202.22,31.78,22.17
27.96,242.0,202.26,39.74,22.61
27.98,221.0,202.3,18.7,23.7
28.0,202.0,202.35,-0.35,25.7
28.02,229.0,202.39,26.61,25.46
28.04,226.0,202.43,23.57,24.82
28.06,210.0,202.47,7.53,24.44
28.08,243.0,202.52,40.48,25.3
28.1,230.0,202.56,27.44,25.71
28.12,247.0,202.6,44.4,26.5
28.14,235.0,202.64,32.36,25.75
28.16,223.0,202.68,20.32,26.01
28.18,222.0,202.72,19.28,25.92
28.2,224.0,202.76,21.24,24.84
28.22,243.0,202.8,40.2,26.67
28.24,214.0,202.85,11.15,24.54
28.26,222.0,202.89,19.11,23.51
28.28,233.0,202.92,30.08,22.41
28.3,223.0,202.96,20.04,22.1
28.32,221.0,203.0,18.0,21.05
28.34,221.0,203.04,17.96,20.38
28.36,232.0,203.08,28.92,18.72
28.38,232.0,203.12,28.88,17.88
28.4,203.0,203.16,-0.16,17.69
28.42,213.0,203.2,9.8,18.51
28.44,240.0,203.23,36.77,18.68
28.46,201.0,203.27,-2.27,18.32
28.48,251.0,203.31,47.69,21.2
28.5,211.0,203.35,7.65,21.34
28.52,233.0,203.38,29.62,22.16
28.54,217.0,203.42,13.58,24.3
28.56,204.0,203.46,0.54,25.74
28.58,227.0,203.49,23.51,27.18
28.6,238.0,203.53,34.47,28.66
28.62,255.0,203.57,51.43,28.33
28.64,249.0,203.6,45.4,31.72
28.66,226.0,203.64,22.36,32.45
28.68,236.0,203.67,32.33,32.42
28.7,252.0,203.71,48.29,33.51
28.72,224.0,203.74,20.26,33.52
28.74,243.0,203.77,39.23,36.02
28.76,241.0,203.81,37.19,36.71
28.78,233.0,203.84,29.16,37.73
28.8,236.0,203.88,32.12,36.9
28.82,233.0,203.91,29.09,35.46
28.84,229.0,203.94,25.06,34.14
28.86,277.0,203.97,73.03,33.19
28.88,223.0,204.01,18.99,34.08
28.9,230.0,204.04,25.96,35.47
28.92,244.0,204.07,39.93,35.16
28.94,256.0,204.1,51.9,35.32
28.96,236.0,204.13,31.87,35.07
28.98,240.0,204.16,35.84,36.4
29.0,227.0,204.19,22.81,37.24
29.02,236.0,204.22,31.78,38.22
29.04,248.0,204.25,43.75,39.44
29.06,236.0,204.28,31.72,40.45
29.08,249.0,204.31,44.69,40.78
29.1,256.0,204.34,51.66,40.61
29.12,250.0,204.37,45.63,43.91
29.14,243.0,204.4,38.6,44.42
29.16,249.0,204.43,44.57,45.56
29.18,251.0,204.46,46.54,46.05
29.2,285.0,204.49,80.51,48.5
29.22,236.0,204.51,31.49,51.98
29.24,261.0,204.54,56.46,54.88
29.26,263.0,204.57,58.43,56.25
29.28,253.0,204.59,48.41,57.7
29.3,259.0,204.62,54.38,60.61
29.32,269.0,204.65,64.35,65.03
29.34,276.0,204.67,71.33,68.62
29.36,279.0,204.7,74.3,72.47
29.38,283.0,204.72,78.28,78.87
29.4,281.0,204.75,76.25,86.59
29.42,316.0,204.77,111.23,95.14
29.44,316.0,204.8,111.2,103.89
29.46,291.0,204.82,86.18,113.36
29.48,310.0,204.84,105.16,119.6
29.5,332.0,204.87,127.13,128.59
29.52,354.0,204.89,149.11,136.56
29.54,363.0,204.91,158.09,142.73
29.56,341.0,204.93,136.07,151.73
29.58,383.0,204.96,178.04,162.19
29.6,416.0,204.98,211.02,169.71
29.62,396.0,205.0,191.0,178.05
29.64,381.0,205.02,175.98,186.41
29.66,379.0,205.04,173.96,195.67
29.68,381.0,205.06,175.94,206.39
29.7,417.0,205.08,211.92,217.37
29.72,439.0,205.1,233.9,228.12
29.74,428.0,205.12,222.88,238.15
29.76,460.0,205.14,254.86,249.28
29.78,499.0,205.16,293.84,262.2
29.8,472.0,205.18,266.82,276.38
29.82,460.0,205.19,254.81,291.99
29.84,525.0,205.21,319.79,307.16
29.86,533.0,205.23,327.77,326.06
29.88,554.0,205.25,348.75,342.52
29.9,550.0,205.26,344.74,357.2
29.92,576.0,205.28,370.72,371.92
29.94,594.0,205.29,388.71,382.27
29.96,583.0,205.31,377.69,392.77
29.98,618.0,205.33,412.67,401.93
30.0,635.0,205.34,429.66,411.03
30.02,645.0,205.36,439.64,417.14
30.04,651.0,205.37,445.63,424.44
30.06,603.0,205.38,397.62,427.03
30.08,644.0,205.4,438.6,426.85
30.1,617.0,205.41,411.59,427.28
30.12,632.0,205.42,426.58,425.48
30.14,629.0,205.44,423.56,421.89
30.16,590.0,205.45,384.55,414.64
30.18,618.0,205.46,412.54,405.86
30.2,610.0,205.47,404.53,395.91
30.22,618.0,205.48,412.52,384.24
30.24,558.0,205.49,352.51,370.18
30.26,582.0,205.5,376.5,355.45
30.28,554.0,205.51,348.49,343.3
30.3,551.0,205.52,345.48,330.36
30.32,513.0,205.53,307.47,311.58
30.34,494.0,205.54,288.46,294.6
30.36,472.0,205.55,266.45,277.65
30.38,456.0,205.56,250.44,261.77
30.4,447.0,205.57,241.43,244.92
30.42,437.0,205.58,231.42,229.0
30.44,421.0,205.58,215.42,213.86
30.46,381.0,205.59,175.41,201.05
30.48,406.0,205.6,200.4,191.14
30.5,407.0,205.6,201.4,180.48
30.52,349.0,205.61,143.39,172.16
30.54,342.0,205.61,136.39,162.88
30.56,369.0,205.62,163.38,155.1
30.58,372.0,205.63,166.37,146.99
30.6,342.0,205.63,136.37,138.35
30.62,336.0,205.63,130.37,131.85
30.64,361.0,205.64,155.36,125.89
30.66,315.0,205.64,109.36,119.42
30.68,341.0,205.64,135.36,114.48
30.7,319.0,205.65,113.35,107.98
30.72,306.0,205.65,100.35,102.26
30.74,276.0,205.65,70.35,98.39
30.76,275.0,205.65,69.35,94.74
30.78,287.0,205.66,81.34,87.53
30.8,289.0,205.66,83.34,78.6
30.82,286.0,205.66,80.34,71.46
30.84,304.0,205.66,98.34,66.06
30.86,270.0,205.66,64.34,61.26
30.88,258.0,205.66,52.34,57.54
30.9,272.0,205.66,66.34,56.78
30.92,252.0,205.66,46.34,53.25
30.94,279.0,205.66,73.34,53.55
30.96,233.0,205.65,27.35,51.94
30.98,226.0,205.65,20.35,49.78
31.0,232.0,205.65,26.35,47.21
31.02,238.0,205.65,32.35,44.45
31.04,261.0,205.65,55.35,42.95
31.06,274.0,205.64,68.36,42.92
31.08,276.0,205.64,70.36,41.51
31.1,258.0,205.63,52.37,43.57
31.12,246.0,205.63,40.37,42.81
31.14,236.0,205.63,30.37,41.58
31.16,250.0,205.62,44.38,40.58
31.18,223.0,205.62,17.38,39.49
31.2,246.0,205.61,40.39,40.9
31.22,258.0,205.6,52.4,40.22
31.24,243.0,205.6,37.4,38.16
31.26,246.0,205.59,40.41,36.04
31.28,241.0,205.59,35.41,34.79
31.3,222.0,205.58,16.42,31.47
31.32,248.0,205.57,42.43,31.28
31.34,219.0,205.56,13.44,31.15
31.36,239.0,205.55,33.45,31.48
31.38,238.0,205.55,32.45,31.69
31.4,256.0,205.54,50.46,32.72
31.42,246.0,205.53,40.47,32.92
31.44,239.0,205.52,33.48,31.29
31.46,228.0,205.51,22.49,30.48
31.48,233.0,205.5,27.5,32.18
31.5,229.0,205.49,23.51,32.26
31.52,207.0,205.48,1.52,33.64
31.54,264.0,205.47,58.53,35.13
31.56,239.0,205.45,33.55,32.54
31.58,256.0,205.44,50.56,31.81
31.6,245.0,205.43,39.57,30.85
31.62,241.0,205.42,35.58,30.31
31.64,213.0,205.41,7.59,29.76
31.66,237.0,205.39,31.61,29.73
31.68,239.0,205.38,33.62,29.35
31.7,249.0,205.37,43.63,28.81
31.72,224.0,205.35,18.65,28.79
31.74,238.0,205.34,32.66,29.05
31.76,219.0,205.32,13.68,29.57
31.78,204.0,205.31,-1.31,26.33
31.8,249.0,205.29,43.71,27.53
31.82,249.0,205.28,43.72,27.57
31.84,223.0,205.26,17.74,27.49
31.86,229.0,205.25,23.75,26.66
31.88,226.0,205.23,20.77,26.1
31.9,239.0,205.21,33.79,24.7
31.92,244.0,205.19,38.81,23.31
31.94,247.0,205.18,41.82,22.95
31.96,228.0,205.16,22.84,23.9
31.98,223.0,205.14,17.86,22.5
32.0,193.0,205.12,-12.12,22.36
32.02,233.0,205.1,27.9,19.47
32.04,213.0,205.09,7.91,14.58
32.06,204.0,205.07,-1.07,14.79
32.08,224.0,205.05,18.95,15.38
32.1,233.0,205.03,27.97,16.91
32.12,231.0,205.01,25.99,18.14
32.14,213.0,204.99,8.01,19.02
32.16,233.0,204.97,28.03,20.95
32.18,221.0,204.94,16.06,22.45
32.2,211.0,204.92,6.08,26.6
32.22,225.0,204.9,20.1,28.68
32.24,218.0,204.88,13.12,29.4
32.26,248.0,204.86,43.14,27.97
32.28,275.0,204.83,70.17,29.44
32.3,246.0,204.81,41.19,29.43
32.32,256.0,204.79,51.21,28.8
32.34,220.0,204.76,15.24,28.98
32.36,227.0,204.74,22.26,29.85
32.38,228.0,204.71,23.29,30.92
32.4,223.0,204.69,18.31,28.63
32.42,241.0,204.66,36.34,28.48
32.44,204.0,204.64,-0.64,28.24
32.46,217.0,204.61,12.39,26.69
32.48,233.0,204.59,28.41,25.73
32.5,251.0,204.56,46.44,23.59
32.52,232.0,204.53,27.47,23.77
32.54,236.0,204.51,31.49,25.09
32.56,231.0,204.48,26.52,24.63
32.58,230.0,204.45,25.55,25.52
32.6,225.0,204.42,20.58,26.0
32.62,216.0,204.4,11.6,24.7
32.64,251.0,204.37,46.63,24.39
32.66,237.0,204.34,32.66,24.04
32.68,224.0,204.31,19.69,26.52
32.7,226.0,204.28,21.72,25.52
32.72,221.0,204.25,16.75,24.39
32.74,225.0,204.22,20.78,24.81
32.76,211.0,204.19,6.81,26.25
32.78,226.0,204.16,21.84,26.1
32.8,240.0,204.13,35.87,26.02
32.82,241.0,204.09,36.91,25.77
32.84,215.0,204.06,10.94,25.38
32.86,251.0,204.03,46.97,23.07
32.88,242.0,204.0,38.0,21.92
32.9,240.0,203.96,36.04,21.79
32.92,210.0,203.93,6.07,22.09
32.94,223.0,203.9,19.1,20.72
32.96,228.0,203.86,24.14,20.53
32.98,212.0,203.83,8.17,20.18
33.0,211.0,203.79,7.21,20.05
33.02,218.0,203.76,14.24,18.08
33.04,220.0,203.72,16.28,17.51
33.06,217.0,203.69,13.31,18.81
33.08,216.0,203.65,12.35,18.42
33.1,245.0,203.61,41.39,19.06
33.12,216.0,203.58,12.42,22.62
33.14,237.0,203.54,33.46,25.56
33.16,225.0,203.5,21.5,27.58
33.18,245.0,203.46,41.54,28.79
33.2,232.0,203.42,28.58,29.89
33.22,230.0,203.39,26.61,32.61
33.24,230.0,203.35,26.65,34.13
33.26,247.0,203.31,43.69,33.92
33.28,241.0,203.27,37.73,35.31
33.3,228.0,203.23,24.77,37.02
33.32,269.0,203.19,65.81,36.68
33.34,234.0,203.15,30.85,35.76
33.36,222.0,203.1,18.9,36.44
33.38,228.0,203.06,24.94,36.17
33.4,250.0,203.02,46.98,36.78
33.42,237.0,202.98,34.02,35.7
33.44,252.0,202.94,49.06,36.62
33.46,232.0,202.89,29.11,35.27
33.48,231.0,202.85,28.15,32.78
33.5,254.0,202.8,51.2,31.31
33.52,230.0,202.76,27.24,32.53
33.54,216.0,202.72,13.28,31.25
33.56,237.0,202.67,34.33,29.56
33.58,239.0,202.63,36.37,29.13
33.6,241.0,202.58,38.42,28.72
33.62,224.0,202.53,21.47,27.79
33.64,221.0,202.49,18.51,26.56
33.66,231.0,202.44,28.56,27.72
