# PROCESSED SYNTHETIC DATASET -- smoothed, turbidity-corrected, photometric flags
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
wavelength_nm,photon_energy_eV,absorbance_raw,absorbance_smoothed,scattering_baseline,absorbance_scatter_corrected,photometrically_unreliable
401.0,3.09188,1.06962,1.06812,0.68236,0.38576,False
402.0,3.08418,1.05741,1.0578,0.67894,0.37886,False
403.0,3.07653,1.04694,1.04793,0.67554,0.37238,False
404.0,3.06892,1.03781,1.03807,0.67217,0.3659,False
405.0,3.06134,1.02951,1.02856,0.66883,0.35973,False
406.0,3.0538,1.01772,1.01897,0.66551,0.35346,False
407.0,3.04629,1.01079,1.00931,0.66222,0.34709,False
408.0,3.03883,0.99878,0.99986,0.65895,0.34091,False
409.0,3.0314,0.99153,0.99087,0.6557,0.33517,False
410.0,3.024,0.9815,0.98174,0.65248,0.32926,False
411.0,3.01665,0.9745,0.97266,0.64928,0.32338,False
412.0,3.00933,0.9613,0.96352,0.64611,0.31741,False
413.0,3.00204,0.9543,0.95471,0.64296,0.31176,False
414.0,2.99479,0.94656,0.94605,0.63983,0.30622,False
415.0,2.98757,0.93845,0.93746,0.63672,0.30074,False
416.0,2.98039,0.92822,0.92862,0.63364,0.29499,False
417.0,2.97324,0.92026,0.92028,0.63058,0.28971,False
418.0,2.96613,0.91114,0.91166,0.62754,0.28412,False
419.0,2.95905,0.90483,0.90385,0.62452,0.27933,False
420.0,2.952,0.89652,0.89561,0.62152,0.27409,False
421.0,2.94499,0.8854,0.88772,0.61855,0.26917,False
422.0,2.93801,0.87963,0.88001,0.6156,0.26441,False
423.0,2.93107,0.87309,0.87235,0.61267,0.25968,False
424.0,2.92416,0.86363,0.86475,0.60975,0.255,False
425.0,2.91728,0.86002,0.85714,0.60686,0.25027,False
426.0,2.91043,0.84937,0.8497,0.60399,0.24571,False
427.0,2.90361,0.84312,0.84279,0.60114,0.24164,False
428.0,2.89683,0.8346,0.83587,0.59831,0.23756,False
429.0,2.89007,0.82727,0.82894,0.5955,0.23344,False
430.0,2.88335,0.82204,0.8218,0.59271,0.22909,False
431.0,2.87666,0.81444,0.81481,0.58994,0.22487,False
432.0,2.87,0.80993,0.80767,0.58719,0.22048,False
433.0,2.86338,0.8025,0.80123,0.58446,0.21677,False
434.0,2.85678,0.79377,0.79439,0.58175,0.21265,False
435.0,2.85021,0.78826,0.78758,0.57905,0.20852,False
436.0,2.84367,0.778,0.78097,0.57638,0.20459,False
437.0,2.83717,0.7743,0.77411,0.57372,0.20039,False
438.0,2.83069,0.76831,0.76772,0.57108,0.19664,False
439.0,2.82424,0.76235,0.76125,0.56846,0.1928,False
440.0,2.81782,0.75386,0.75521,0.56586,0.18935,False
441.0,2.81143,0.74899,0.7493,0.56327,0.18603,False
442.0,2.80507,0.74496,0.74345,0.5607,0.18275,False
443.0,2.79874,0.73643,0.73763,0.55815,0.17948,False
444.0,2.79244,0.73299,0.73168,0.55562,0.17606,False
445.0,2.78616,0.72513,0.72594,0.55311,0.17284,False
446.0,2.77991,0.72026,0.71998,0.55061,0.16937,False
447.0,2.7737,0.7145,0.7145,0.54813,0.16637,False
448.0,2.7675,0.70923,0.70888,0.54566,0.16322,False
449.0,2.76134,0.70241,0.70348,0.54321,0.16027,False
450.0,2.7552,0.69911,0.69815,0.54078,0.15737,False
451.0,2.7491,0.69155,0.69271,0.53836,0.15435,False
452.0,2.74301,0.68618,0.68751,0.53596,0.15155,False
453.0,2.73696,0.68489,0.68198,0.53358,0.1484,False
454.0,2.73093,0.67745,0.67687,0.53121,0.14566,False
455.0,2.72493,0.67183,0.67171,0.52886,0.14285,False
456.0,2.71895,0.66506,0.66663,0.52652,0.1401,False
457.0,2.713,0.66188,0.66161,0.5242,0.13741,False
458.0,2.70708,0.65583,0.65704,0.5219,0.13514,False
459.0,2.70118,0.65135,0.65204,0.51961,0.13243,False
460.0,2.69531,0.64909,0.64726,0.51733,0.12994,False
461.0,2.68946,0.64205,0.64278,0.51507,0.12771,False
462.0,2.68364,0.63855,0.63832,0.51282,0.1255,False
463.0,2.67784,0.63485,0.63366,0.51059,0.12307,False
464.0,2.67207,0.62938,0.62894,0.50837,0.12057,False
465.0,2.66633,0.62298,0.62442,0.50617,0.11825,False
466.0,2.66061,0.62096,0.61959,0.50398,0.11561,False
467.0,2.65491,0.61377,0.61512,0.50181,0.11331,False
468.0,2.64924,0.61095,0.6108,0.49965,0.11115,False
469.0,2.64359,0.60537,0.6064,0.4975,0.1089,False
470.0,2.63796,0.60327,0.60228,0.49537,0.10691,False
471.0,2.63236,0.59825,0.59858,0.49325,0.10534,False
472.0,2.62678,0.59386,0.59464,0.49114,0.1035,False
473.0,2.62123,0.59241,0.59064,0.48905,0.10159,False
474.0,2.6157,0.58556,0.58697,0.48697,0.1,False
475.0,2.61019,0.58358,0.58278,0.48491,0.09787,False
476.0,2.60471,0.57981,0.57884,0.48285,0.09599,False
477.0,2.59925,0.57543,0.57479,0.48081,0.09398,False
478.0,2.59381,0.56905,0.57085,0.47879,0.09206,False
479.0,2.5884,0.56762,0.56711,0.47677,0.09034,False
480.0,2.583,0.56291,0.5631,0.47477,0.08833,False
481.0,2.57763,0.55818,0.55972,0.47278,0.08694,False
482.0,2.57229,0.55712,0.55603,0.47081,0.08523,False
483.0,2.56696,0.55285,0.55253,0.46884,0.08369,False
484.0,2.56166,0.54906,0.54944,0.46689,0.08255,False
485.0,2.55638,0.54722,0.54637,0.46495,0.08141,False
486.0,2.55112,0.54162,0.54295,0.46302,0.07993,False
487.0,2.54588,0.54105,0.53985,0.46111,0.07874,False
488.0,2.54066,0.53547,0.53652,0.4592,0.07732,False
489.0,2.53546,0.5331,0.53273,0.45731,0.07542,False
490.0,2.53029,0.53122,0.52932,0.45543,0.07389,False
491.0,2.52514,0.52559,0.52608,0.45356,0.07252,False
492.0,2.52,0.52229,0.5228,0.4517,0.07109,False
493.0,2.51489,0.51955,0.51961,0.44986,0.06975,False
494.0,2.5098,0.51482,0.51634,0.44802,0.06831,False
495.0,2.50473,0.51211,0.5135,0.4462,0.0673,False
496.0,2.49968,0.51219,0.51034,0.44439,0.06595,False
497.0,2.49465,0.50883,0.50734,0.44259,0.06475,False
498.0,2.48964,0.50423,0.50472,0.44079,0.06393,False
499.0,2.48465,0.50116,0.50194,0.43901,0.06293,False
500.0,2.47968,0.49952,0.49879,0.43725,0.06154,False
501.0,2.47473,0.49597,0.4959,0.43549,0.06041,False
502.0,2.4698,0.49188,0.4928,0.43374,0.05906,False
503.0,2.46489,0.49045,0.48955,0.432,0.05755,False
504.0,2.46,0.48751,0.48658,0.43027,0.05631,False
505.0,2.45513,0.48325,0.48414,0.42856,0.05558,False
506.0,2.45028,0.4795,0.48154,0.42685,0.05468,False
507.0,2.44545,0.48029,0.4791,0.42515,0.05395,False
508.0,2.44063,0.47599,0.47654,0.42347,0.05307,False
509.0,2.43584,0.47344,0.47394,0.42179,0.05215,False
510.0,2.43106,0.47229,0.47138,0.42012,0.05125,False
511.0,2.42631,0.47174,0.46906,0.41847,0.05059,False
512.0,2.42157,0.46587,0.46669,0.41682,0.04987,False
513.0,2.41685,0.46396,0.46418,0.41518,0.04899,False
514.0,2.41214,0.45919,0.46161,0.41356,0.04805,False
515.0,2.40746,0.45926,0.45939,0.41194,0.04745,False
516.0,2.40279,0.45796,0.45685,0.41033,0.04652,False
517.0,2.39815,0.45481,0.45437,0.40873,0.04564,False
518.0,2.39352,0.45169,0.45209,0.40714,0.04495,False
519.0,2.38891,0.45051,0.4502,0.40556,0.04464,False
520.0,2.38431,0.44861,0.44792,0.40399,0.04394,False
521.0,2.37974,0.44513,0.44572,0.40242,0.0433,False
522.0,2.37518,0.44222,0.44327,0.40087,0.0424,False
523.0,2.37063,0.4417,0.44069,0.39933,0.04137,False
524.0,2.36611,0.43902,0.43858,0.39779,0.04079,False
525.0,2.3616,0.43639,0.43627,0.39626,0.04,False
526.0,2.35711,0.43318,0.43394,0.39475,0.03919,False
527.0,2.35264,0.43203,0.43172,0.39324,0.03848,False
528.0,2.34819,0.42959,0.4298,0.39174,0.03806,False
529.0,2.34375,0.42638,0.42781,0.39024,0.03756,False
530.0,2.33932,0.4274,0.42541,0.38876,0.03665,False
531.0,2.33492,0.42258,0.42355,0.38728,0.03627,False
532.0,2.33053,0.42214,0.4216,0.38582,0.03578,False
533.0,2.32616,0.41996,0.41976,0.38436,0.0354,False
534.0,2.3218,0.41871,0.41795,0.38291,0.03504,False
535.0,2.31746,0.41509,0.4164,0.38147,0.03493,False
536.0,2.31314,0.41262,0.4145,0.38003,0.03447,False
537.0,2.30883,0.41444,0.41242,0.37861,0.03381,False
538.0,2.30454,0.41015,0.41068,0.37719,0.03349,False
539.0,2.30026,0.40998,0.40876,0.37578,0.03298,False
540.0,2.296,0.40795,0.40689,0.37438,0.03252,False
541.0,2.29176,0.40522,0.40517,0.37298,0.03219,False
542.0,2.28753,0.40087,0.40371,0.37159,0.03211,False
543.0,2.28332,0.40157,0.40168,0.37022,0.03146,False
544.0,2.27912,0.40025,0.39966,0.36884,0.03082,False
545.0,2.27494,0.39878,0.39829,0.36748,0.03081,False
546.0,2.27077,0.3965,0.39656,0.36612,0.03044,False
547.0,2.26662,0.39608,0.39497,0.36477,0.03019,False
548.0,2.26249,0.39332,0.39355,0.36343,0.03012,False
549.0,2.25836,0.38962,0.39187,0.3621,0.02977,False
550.0,2.25426,0.39173,0.38996,0.36077,0.02919,False
551.0,2.25017,0.38954,0.38837,0.35945,0.02891,False
552.0,2.24609,0.38533,0.38658,0.35814,0.02844,False
553.0,2.24203,0.38471,0.38505,0.35684,0.02821,False
554.0,2.23798,0.38375,0.38344,0.35554,0.0279,False
555.0,2.23395,0.38081,0.38209,0.35425,0.02785,False
556.0,2.22993,0.38139,0.38048,0.35296,0.02751,False
557.0,2.22593,0.37943,0.37857,0.35169,0.02688,False
558.0,2.22194,0.37621,0.37702,0.35042,0.02661,False
559.0,2.21796,0.37713,0.37585,0.34915,0.02669,False
560.0,2.214,0.374,0.37433,0.3479,0.02644,False
561.0,2.21006,0.37267,0.373,0.34665,0.02636,False
562.0,2.20612,0.36978,0.37155,0.3454,0.02615,False
563.0,2.20221,0.37011,0.3702,0.34417,0.02603,False
564.0,2.1983,0.36942,0.36888,0.34294,0.02595,False
565.0,2.19441,0.36938,0.36753,0.34171,0.02581,False
566.0,2.19053,0.36553,0.36591,0.3405,0.02542,False
567.0,2.18667,0.36502,0.36464,0.33929,0.02535,False
568.0,2.18282,0.3623,0.36308,0.33808,0.025,False
569.0,2.17898,0.36282,0.36188,0.33689,0.02499,False
570.0,2.17516,0.35876,0.36021,0.33569,0.02451,False
571.0,2.17135,0.35832,0.35853,0.33451,0.02402,False
572.0,2.16756,0.35726,0.35726,0.33333,0.02393,False
573.0,2.16377,0.35671,0.3562,0.33216,0.02404,False
574.0,2.16,0.35475,0.35478,0.33099,0.02378,False
575.0,2.15625,0.35536,0.35393,0.32983,0.02409,False
576.0,2.1525,0.3506,0.35289,0.32868,0.02421,False
577.0,2.14877,0.35139,0.35174,0.32753,0.0242,False
578.0,2.14506,0.35223,0.3505,0.32639,0.02411,False
579.0,2.14135,0.34871,0.34917,0.32525,0.02392,False
580.0,2.13766,0.34771,0.34792,0.32412,0.0238,False
581.0,2.13398,0.34934,0.34673,0.323,0.02373,False
582.0,2.13031,0.34405,0.34558,0.32188,0.0237,False
583.0,2.12666,0.34243,0.34458,0.32077,0.02381,False
584.0,2.12302,0.34435,0.34357,0.31966,0.02391,False
585.0,2.11939,0.34174,0.34229,0.31856,0.02374,False
586.0,2.11577,0.3419,0.34134,0.31746,0.02387,False
587.0,2.11217,0.3405,0.34029,0.31637,0.02392,False
588.0,2.10857,0.34006,0.33913,0.31529,0.02384,False
589.0,2.10499,0.33811,0.33844,0.31421,0.02423,False
590.0,2.10143,0.33838,0.3371,0.31314,0.02396,False
591.0,2.09787,0.33318,0.3356,0.31207,0.02353,False
592.0,2.09433,0.33519,0.33428,0.31101,0.02327,False
593.0,2.0908,0.33379,0.33305,0.30995,0.0231,False
594.0,2.08728,0.33143,0.33202,0.3089,0.02312,False
595.0,2.08377,0.33097,0.33103,0.30785,0.02318,False
596.0,2.08027,0.32811,0.32973,0.30681,0.02292,False
597.0,2.07679,0.32917,0.32855,0.30578,0.02278,False
598.0,2.07331,0.32808,0.32767,0.30475,0.02293,False
599.0,2.06985,0.32855,0.32662,0.30372,0.0229,False
600.0,2.0664,0.32566,0.32556,0.3027,0.02286,False
601.0,2.06297,0.32354,0.32451,0.30168,0.02282,False
602.0,2.05954,0.32094,0.32363,0.30067,0.02296,False
603.0,2.05612,0.32397,0.32276,0.29967,0.02309,False
604.0,2.05272,0.32238,0.32143,0.29867,0.02276,False
605.0,2.04933,0.32132,0.32029,0.29767,0.02262,False
606.0,2.04594,0.3175,0.31911,0.29668,0.02243,False
607.0,2.04257,0.3191,0.31826,0.2957,0.02256,False
608.0,2.03921,0.31898,0.31741,0.29472,0.02269,False
609.0,2.03587,0.3153,0.31662,0.29374,0.02287,False
610.0,2.03253,0.31386,0.31567,0.29277,0.0229,False
611.0,2.0292,0.31472,0.31487,0.29181,0.02306,False
612.0,2.02589,0.31395,0.31423,0.29085,0.02339,False
613.0,2.02258,0.31432,0.31353,0.28989,0.02364,False
614.0,2.01929,0.31371,0.31245,0.28894,0.02351,False
615.0,2.016,0.31273,0.31159,0.28799,0.02359,False
616.0,2.01273,0.31061,0.31066,0.28705,0.02361,False
617.0,2.00947,0.30801,0.30956,0.28611,0.02345,False
618.0,2.00622,0.30899,0.30817,0.28518,0.023,False
619.0,2.00298,0.30622,0.30708,0.28425,0.02283,False
620.0,1.99975,0.30573,0.30603,0.28333,0.02271,False
621.0,1.99652,0.30491,0.3049,0.28241,0.02249,False
622.0,1.99332,0.30315,0.30398,0.28149,0.02249,False
623.0,1.99012,0.30405,0.30316,0.28058,0.02258,False
624.0,1.98693,0.30221,0.30225,0.27968,0.02258,False
625.0,1.98375,0.30266,0.30101,0.27877,0.02224,False
626.0,1.98058,0.30001,0.30014,0.27788,0.02226,False
627.0,1.97742,0.29764,0.29891,0.27698,0.02192,False
628.0,1.97427,0.29858,0.29798,0.27609,0.02188,False
629.0,1.97113,0.29665,0.29694,0.27521,0.02173,False
630.0,1.968,0.29528,0.29588,0.27433,0.02155,False
631.0,1.96488,0.29432,0.29513,0.27345,0.02167,False
632.0,1.96178,0.29507,0.29397,0.27258,0.02139,False
633.0,1.95868,0.29274,0.29336,0.27171,0.02165,False
634.0,1.95559,0.29418,0.29246,0.27085,0.02161,False
635.0,1.95251,0.29094,0.29157,0.26999,0.02158,False
636.0,1.94944,0.29121,0.29075,0.26913,0.02162,False
637.0,1.94638,0.28959,0.28988,0.26828,0.0216,False
638.0,1.94333,0.28714,0.28921,0.26744,0.02178,False
639.0,1.94028,0.28987,0.28827,0.26659,0.02168,False
640.0,1.93725,0.2863,0.28751,0.26575,0.02176,False
641.0,1.93423,0.2875,0.28639,0.26492,0.02147,False
