# PROCESSED SYNTHETIC DATASET -- Savitzky-Golay smoothed mass and DTG derivative
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
temperature_C,mass_percent_raw,mass_percent_smoothed,dtg_percent_per_C
89.0,98.316,98.3218,0.029597
89.5,98.3085,98.3065,0.029458
90.0,98.2937,98.2917,0.029278
90.5,98.2779,98.2768,0.029115
91.0,98.2692,98.2622,0.028953
91.5,98.2452,98.2477,0.028781
92.0,98.2356,98.2333,0.028619
92.5,98.2221,98.2189,0.028439
93.0,98.2094,98.2046,0.028264
93.5,98.1866,98.1904,0.028076
94.0,98.1783,98.1762,0.027875
94.5,98.1657,98.1621,0.027677
95.0,98.1475,98.1483,0.027474
95.5,98.133,98.1348,0.027272
96.0,98.1267,98.121,0.027054
96.5,98.1021,98.1079,0.026844
97.0,98.0863,98.0947,0.026629
97.5,98.0799,98.0818,0.026393
98.0,98.067,98.0688,0.026155
98.5,98.0461,98.0559,0.025927
99.0,98.0466,98.0427,0.025686
99.5,98.0318,98.0296,0.025438
100.0,98.0193,98.0172,0.025175
100.5,97.9982,98.0046,0.024928
101.0,97.9971,97.992,0.024686
101.5,97.9823,97.9799,0.024456
102.0,97.972,97.9675,0.024214
102.5,97.9534,97.9554,0.023958
103.0,97.9451,97.9435,0.023706
103.5,97.9348,97.9316,0.023449
104.0,97.9176,97.9201,0.023182
104.5,97.909,97.9084,0.022916
105.0,97.9003,97.8972,0.022658
105.5,97.8804,97.8858,0.022392
106.0,97.8755,97.875,0.022129
106.5,97.8667,97.864,0.021875
107.0,97.861,97.8534,0.021621
107.5,97.8421,97.8429,0.021373
108.0,97.8231,97.8324,0.0211
108.5,97.8234,97.8219,0.020839
109.0,97.8089,97.8117,0.02059
109.5,97.8066,97.8016,0.020319
110.0,97.785,97.7914,0.02006
110.5,97.7787,97.7817,0.019801
111.0,97.7713,97.7718,0.019545
111.5,97.7641,97.7619,0.01929
112.0,97.7567,97.7525,0.019052
112.5,97.7409,97.7434,0.01881
113.0,97.7306,97.7343,0.018565
113.5,97.7272,97.725,0.018304
114.0,97.7085,97.7165,0.018058
114.5,97.7065,97.7075,0.017793
115.0,97.6986,97.6992,0.017565
115.5,97.6903,97.6904,0.017312
116.0,97.6838,97.6818,0.017081
116.5,97.6771,97.6737,0.016846
117.0,97.669,97.6652,0.016616
117.5,97.6519,97.6569,0.016371
118.0,97.6597,97.6488,0.016132
118.5,97.64,97.6407,0.01591
119.0,97.6315,97.6328,0.01569
119.5,97.6238,97.6251,0.01547
120.0,97.6184,97.6179,0.015241
120.5,97.6082,97.6103,0.015017
121.0,97.6069,97.6029,0.014793
121.5,97.6037,97.5956,0.014591
122.0,97.5842,97.5883,0.014403
122.5,97.5845,97.5816,0.014194
123.0,97.5696,97.5746,0.013989
123.5,97.5711,97.5677,0.013793
124.0,97.5627,97.561,0.013583
124.5,97.5547,97.5546,0.013392
125.0,97.5448,97.5483,0.013202
125.5,97.5368,97.5417,0.012998
126.0,97.5343,97.5352,0.012805
126.5,97.5184,97.5288,0.012622
127.0,97.5253,97.5222,0.012432
127.5,97.5069,97.5161,0.012248
128.0,97.5107,97.5101,0.012077
128.5,97.5069,97.504,0.011916
129.0,97.4905,97.4982,0.01176
129.5,97.4987,97.4926,0.011603
130.0,97.4884,97.4872,0.011438
130.5,97.4877,97.4816,0.011283
131.0,97.4784,97.4765,0.011134
131.5,97.4719,97.471,0.010981
132.0,97.4695,97.4655,0.010839
132.5,97.458,97.46,0.010707
133.0,97.4613,97.4549,0.010573
133.5,97.446,97.4497,0.010442
134.0,97.4469,97.4443,0.01031
134.5,97.4459,97.4395,0.010173
135.0,97.4303,97.4343,0.010034
135.5,97.4289,97.4295,0.009912
136.0,97.4242,97.4243,0.009776
136.5,97.4184,97.4196,0.00965
137.0,97.4088,97.4146,0.009557
137.5,97.4058,97.4097,0.009451
138.0,97.4048,97.4049,0.009347
138.5,97.4003,97.4004,0.009236
139.0,97.4036,97.3959,0.009138
139.5,97.3969,97.3913,0.009035
140.0,97.3866,97.3865,0.008935
140.5,97.381,97.3819,0.008839
141.0,97.3814,97.3774,0.00875
141.5,97.3748,97.373,0.008661
142.0,97.3663,97.3684,0.008558
142.5,97.3595,97.3645,0.008479
143.0,97.3566,97.3603,0.0084
143.5,97.3497,97.3562,0.00832
144.0,97.3493,97.3519,0.008246
144.5,97.3501,97.3479,0.008172
145.0,97.3452,97.3442,0.008105
145.5,97.3341,97.3402,0.008027
146.0,97.3316,97.3366,0.007954
146.5,97.3411,97.3327,0.007883
147.0,97.3254,97.3288,0.007815
147.5,97.3249,97.3254,0.007754
148.0,97.318,97.3216,0.007695
148.5,97.3214,97.3178,0.007637
149.0,97.3124,97.3142,0.007578
149.5,97.3206,97.3102,0.007521
150.0,97.3135,97.3064,0.007471
150.5,97.3075,97.3027,0.007412
151.0,97.2917,97.2991,0.007345
151.5,97.2939,97.2954,0.007302
152.0,97.2851,97.2921,0.007237
152.5,97.3019,97.2889,0.007184
153.0,97.2805,97.2853,0.007146
153.5,97.2831,97.2816,0.007096
154.0,97.2809,97.2781,0.007061
154.5,97.2755,97.2744,0.007028
155.0,97.2617,97.2711,0.006993
155.5,97.2655,97.2675,0.006941
156.0,97.2683,97.2639,0.006926
156.5,97.2673,97.2601,0.006896
157.0,97.2582,97.2564,0.006869
157.5,97.2484,97.2528,0.006828
158.0,97.2486,97.2492,0.006808
158.5,97.2425,97.2453,0.006773
159.0,97.2393,97.2417,0.006761
159.5,97.2454,97.2384,0.006749
160.0,97.2286,97.2348,0.006723
160.5,97.2296,97.2312,0.006701
161.0,97.2293,97.2278,0.006684
161.5,97.2224,97.2243,0.006674
162.0,97.2312,97.2203,0.006665
162.5,97.215,97.2171,0.006675
163.0,97.2112,97.2139,0.006659
163.5,97.2095,97.2106,0.006635
164.0,97.2075,97.2071,0.006629
164.5,97.2016,97.2038,0.006613
165.0,97.1932,97.2004,0.006618
165.5,97.1969,97.1974,0.006601
166.0,97.1992,97.1939,0.006597
166.5,97.1916,97.1908,0.006597
167.0,97.195,97.1879,0.006594
167.5,97.1776,97.1845,0.006598
168.0,97.178,97.181,0.006585
168.5,97.1749,97.1775,0.006597
169.0,97.1737,97.1743,0.006609
169.5,97.1715,97.1714,0.006622
170.0,97.1715,97.1684,0.006634
170.5,97.1686,97.1652,0.006639
171.0,97.1667,97.1618,0.006655
171.5,97.153,97.1587,0.00666
172.0,97.1544,97.1554,0.006658
172.5,97.1501,97.1525,0.006682
173.0,97.1515,97.1489,0.0067
173.5,97.134,97.1455,0.006717
174.0,97.1444,97.1423,0.006733
174.5,97.152,97.1391,0.006744
175.0,97.1389,97.1362,0.006742
175.5,97.1352,97.133,0.006753
176.0,97.1331,97.13,0.006764
176.5,97.1268,97.1266,0.006785
177.0,97.1196,97.1234,0.0068
177.5,97.1137,97.1202,0.006829
178.0,97.1183,97.1164,0.00686
178.5,97.1144,97.1132,0.006873
179.0,97.1075,97.1098,0.006892
179.5,97.0968,97.1064,0.006925
180.0,97.1061,97.1033,0.006948
180.5,97.099,97.0998,0.006962
181.0,97.1019,97.0962,0.00698
181.5,97.0958,97.0925,0.006999
182.0,97.0887,97.0888,0.007013
182.5,97.0823,97.0854,0.00704
183.0,97.0769,97.0817,0.007073
183.5,97.0847,97.0784,0.007085
184.0,97.0702,97.0748,0.007113
184.5,97.0723,97.071,0.007146
185.0,97.0639,97.0673,0.007165
185.5,97.0719,97.0637,0.00719
186.0,97.066,97.0599,0.007209
186.5,97.0581,97.0557,0.007243
187.0,97.0515,97.0519,0.00726
187.5,97.0492,97.048,0.007285
188.0,97.0443,97.0444,0.007324
188.5,97.033,97.0408,0.007349
189.0,97.0406,97.0371,0.007377
189.5,97.029,97.0332,0.007387
190.0,97.0261,97.0292,0.007399
190.5,97.0311,97.0252,0.007452
191.0,97.0169,97.0214,0.007468
191.5,97.0211,97.0176,0.007493
192.0,97.0149,97.0135,0.007533
192.5,97.0083,97.0094,0.007574
193.0,96.9989,97.0059,0.007586
193.5,97.0043,97.0019,0.007608
194.0,97.0004,96.9981,0.007637
194.5,96.9982,96.9941,0.007677
195.0,96.9819,96.9903,0.007709
195.5,96.9907,96.9863,0.007733
196.0,96.9764,96.9823,0.007771
196.5,96.9831,96.9786,0.007797
197.0,96.973,96.9749,0.007832
197.5,96.9692,96.9709,0.007872
198.0,96.9594,96.9667,0.007899
198.5,96.9654,96.9629,0.007929
199.0,96.9583,96.9592,0.007962
199.5,96.9543,96.9555,0.007991
200.0,96.9664,96.9518,0.008037
200.5,96.9449,96.9479,0.008057
201.0,96.9363,96.9441,0.008081
201.5,96.9401,96.9398,0.008107
202.0,96.9381,96.9362,0.008123
202.5,96.9364,96.932,0.008142
203.0,96.9286,96.9277,0.008162
203.5,96.9235,96.924,0.00819
204.0,96.9196,96.9199,0.008226
204.5,96.923,96.9158,0.008245
205.0,96.9109,96.9117,0.008277
205.5,96.8955,96.9076,0.008289
206.0,96.9043,96.9032,0.008314
206.5,96.9033,96.899,0.008335
207.0,96.9,96.895,0.008365
207.5,96.8914,96.8909,0.008387
208.0,96.8879,96.8863,0.008414
208.5,96.8815,96.8823,0.008445
209.0,96.8782,96.8776,0.008484
209.5,96.8621,96.8736,0.008504
210.0,96.8709,96.8693,0.008523
210.5,96.8726,96.865,0.008548
211.0,96.864,96.8605,0.008584
211.5,96.859,96.8561,0.008592
212.0,96.8509,96.8519,0.008619
212.5,96.8403,96.8478,0.008666
213.0,96.8442,96.8439,0.008696
213.5,96.8355,96.8397,0.008724
214.0,96.8384,96.8349,0.008754
214.5,96.8196,96.8309,0.008775
215.0,96.8275,96.8267,0.008791
215.5,96.8289,96.8222,0.008804
216.0,96.8126,96.818,0.008831
216.5,96.807,96.8137,0.008859
217.0,96.8139,96.8091,0.008885
217.5,96.8064,96.8047,0.008903
218.0,96.7987,96.8004,0.00893
218.5,96.7949,96.7957,0.008949
219.0,96.7952,96.7914,0.008978
219.5,96.7833,96.787,0.009011
220.0,96.7833,96.7826,0.009032
220.5,96.7848,96.7781,0.009049
221.0,96.7717,96.7735,0.009075
221.5,96.7782,96.7689,0.009113
222.0,96.7646,96.7642,0.009128
222.5,96.7612,96.7592,0.009145
223.0,96.7575,96.7545,0.009178
223.5,96.7517,96.75,0.009217
224.0,96.7508,96.7455,0.009254
224.5,96.7389,96.7409,0.009277
225.0,96.7272,96.7362,0.009308
225.5,96.735,96.7315,0.00933
226.0,96.7209,96.7269,0.009353
226.5,96.7308,96.7221,0.009364
227.0,96.7071,96.7178,0.009386
227.5,96.7077,96.7128,0.0094
228.0,96.7136,96.708,0.009409
228.5,96.6982,96.7033,0.009429
229.0,96.693,96.6983,0.009434
229.5,96.6983,96.6935,0.00946
230.0,96.6954,96.6889,0.009472
230.5,96.6801,96.6842,0.009491
231.0,96.6755,96.6792,0.009502
231.5,96.6686,96.6743,0.009523
232.0,96.6688,96.6694,0.00954
232.5,96.6624,96.6645,0.009564
233.0,96.6583,96.6597,0.009561
233.5,96.6597,96.655,0.009575
234.0,96.6494,96.6499,0.009586
234.5,96.6522,96.6453,0.009606
235.0,96.6414,96.6406,0.009618
235.5,96.6406,96.6358,0.009623
236.0,96.6336,96.6309,0.009618
236.5,96.6288,96.6262,0.009643
237.0,96.625,96.6216,0.00965
237.5,96.621,96.6167,0.009649
238.0,96.6085,96.6117,0.009672
238.5,96.6076,96.607,0.009672
239.0,96.6027,96.6021,0.009656
239.5,96.5888,96.5978,0.009651
240.0,96.589,96.5928,0.009649
240.5,96.5898,96.588,0.009657
241.0,96.5855,96.5833,0.009653
241.5,96.5802,96.5784,0.009659
242.0,96.5675,96.5733,0.009658
242.5,96.5649,96.5684,0.009663
243.0,96.558,96.5639,0.009658
243.5,96.5609,96.5591,0.009639
244.0,96.5528,96.5542,0.009634
244.5,96.5529,96.5491,0.009631
245.0,96.5414,96.5443,0.009631
245.5,96.5371,96.5394,0.009627
246.0,96.535,96.5342,0.009635
246.5,96.5344,96.5294,0.00963
247.0,96.5259,96.5245,0.009626
247.5,96.5166,96.52,0.009597
248.0,96.5173,96.5149,0.009592
248.5,96.5163,96.5101,0.009589
249.0,96.5058,96.5053,0.009589
249.5,96.5016,96.5007,0.009579
250.0,96.5014,96.4959,0.009563
250.5,96.4936,96.4914,0.009544
251.0,96.487,96.4866,0.009527
251.5,96.4823,96.4819,0.009512
252.0,96.4728,96.4774,0.009498
252.5,96.4685,96.4725,0.009484
253.0,96.4638,96.4678,0.009472
253.5,96.4614,96.4632,0.009475
254.0,96.4581,96.4588,0.009463
254.5,96.4555,96.454,0.009451
255.0,96.4529,96.4493,0.009437
255.5,96.443,96.4443,0.009419
256.0,96.4351,96.4393,0.0094
256.5,96.4315,96.4345,0.009382
257.0,96.4321,96.4298,0.009367
257.5,96.4209,96.4251,0.009349
258.0,96.4164,96.4204,0.009337
258.5,96.4214,96.4156,0.009322
259.0,96.4145,96.4107,0.0093
259.5,96.4031,96.4061,0.009302
260.0,96.3946,96.4014,0.009284
260.5,96.4072,96.3966,0.009261
261.0,96.3959,96.3921,0.009233
261.5,96.3927,96.3873,0.009217
262.0,96.3809,96.3827,0.009199
262.5,96.3853,96.3783,0.009176
263.0,96.3733,96.374,0.009146
263.5,96.3707,96.3696,0.009134
264.0,96.3661,96.3654,0.009097
264.5,96.3579,96.3612,0.009093
265.0,96.3558,96.3567,0.009062
265.5,96.3478,96.3522,0.009027
266.0,96.3421,96.3477,0.009015
266.5,96.336,96.3431,0.008986
267.0,96.3405,96.3386,0.008944
267.5,96.3267,96.3343,0.008928
268.0,96.3316,96.3301,0.008904
268.5,96.3279,96.3257,0.008877
269.0,96.3223,96.3212,0.008852
269.5,96.3157,96.3168,0.008822
270.0,96.3151,96.3125,0.008793
270.5,96.3036,96.3079,0.008767
271.0,96.2998,96.3031,0.008732
271.5,96.3047,96.2989,0.00871
272.0,96.2973,96.2945,0.008693
272.5,96.2944,96.2902,0.008673
273.0,96.286,96.2855,0.008646
273.5,96.2803,96.2815,0.008622
274.0,96.2903,96.2772,0.008594
274.5,96.2775,96.2731,0.008568
275.0,96.2682,96.2689,0.008538
275.5,96.2653,96.2648,0.008512
276.0,96.2619,96.2606,0.00848
276.5,96.2503,96.2564,0.008444
277.0,96.2474,96.2523,0.00841
277.5,96.2432,96.2477,0.008358
278.0,96.2442,96.2434,0.008316
278.5,96.2348,96.239,0.008281
279.0,96.2399,96.2344,0.008253
279.5,96.2302,96.2298,0.00823
280.0,96.224,96.2257,0.008177
280.5,96.2201,96.2215,0.008132
281.0,96.2178,96.2173,0.008084
281.5,96.2114,96.2133,0.008051
282.0,96.2067,96.2093,0.008016
282.5,96.2033,96.2051,0.00798
283.0,96.2001,96.201,0.007936
283.5,96.2059,96.197,0.007903
284.0,96.1949,96.1929,0.007867
284.5,96.1915,96.1889,0.007824
285.0,96.1807,96.1851,0.007778
285.5,96.1837,96.1815,0.007727
286.0,96.1748,96.1779,0.007687
286.5,96.1771,96.174,0.007657
287.0,96.1664,96.1707,0.007613
287.5,96.1624,96.1671,0.00758
288.0,96.1624,96.1634,0.007564
288.5,96.153,96.1597,0.007537
289.0,96.1555,96.1563,0.007496
289.5,96.1451,96.1523,0.007459
290.0,96.157,96.1485,0.007403
290.5,96.1436,96.1449,0.007352
291.0,96.1461,96.1412,0.007309
291.5,96.144,96.1374,0.007257
292.0,96.1436,96.1342,0.007209
292.5,96.1279,96.1306,0.007161
293.0,96.124,96.1271,0.007123
293.5,96.1237,96.1235,0.007083
294.0,96.1201,96.1198,0.007045
294.5,96.1142,96.1161,0.007003
295.0,96.1169,96.1125,0.006961
295.5,96.1137,96.1088,0.006897
296.0,96.1024,96.1054,0.006851
296.5,96.1023,96.1022,0.006812
297.0,96.1055,96.0985,0.00679
297.5,96.0962,96.0952,0.006737
298.0,96.0887,96.0917,0.006684
298.5,96.079,96.0884,0.006656
299.0,96.086,96.0851,0.006619
299.5,96.0767,96.0819,0.006582
300.0,96.0772,96.0786,0.006533
300.5,96.0763,96.0753,0.006483
301.0,96.0741,96.072,0.00644
301.5,96.0624,96.0687,0.0064
302.0,96.07,96.0656,0.006355
302.5,96.0656,96.0623,0.006309
303.0,96.0547,96.0594,0.006261
303.5,96.0587,96.0563,0.006202
304.0,96.0543,96.0532,0.006157
304.5,96.042,96.0502,0.006103
305.0,96.0488,96.0477,0.006058
305.5,96.0376,96.0447,0.00601
306.0,96.0424,96.0417,0.005961
306.5,96.0413,96.0388,0.005922
307.0,96.0385,96.0357,0.005878
307.5,96.0321,96.0328,0.005833
308.0,96.0341,96.0301,0.005786
308.5,96.024,96.0272,0.005735
309.0,96.0247,96.0242,0.005679
309.5,96.0329,96.0216,0.005643
310.0,96.0205,96.0192,0.0056
310.5,96.0181,96.0167,0.005573
311.0,96.0145,96.0139,0.005541
311.5,96.0107,96.0108,0.005486
312.0,96.0098,96.0081,0.00545
312.5,96.003,96.0051,0.005423
313.0,96.0019,96.0019,0.005387
313.5,96.0031,95.999,0.005352
314.0,95.9941,95.9964,0.005333
314.5,95.9928,95.9935,0.005289
315.0,95.9858,95.9912,0.00524
315.5,95.9864,95.9888,0.005193
316.0,95.9836,95.986,0.005151
316.5,95.9858,95.9836,0.005116
317.0,95.9876,95.9811,0.005083
317.5,95.9707,95.9785,0.005052
318.0,95.9731,95.9759,0.005007
318.5,95.9702,95.973,0.004973
319.0,95.9713,95.9702,0.004934
319.5,95.9718,95.9676,0.004899
320.0,95.9638,95.9652,0.004866
320.5,95.9623,95.963,0.004828
321.0,95.968,95.9605,0.004793
321.5,95.9612,95.958,0.00476
322.0,95.9497,95.9552,0.004719
322.5,95.9478,95.9532,0.004682
323.0,95.9461,95.9509,0.004644
323.5,95.9468,95.9486,0.004613
324.0,95.9478,95.9464,0.00458
324.5,95.9408,95.9442,0.004532
325.0,95.9458,95.9422,0.004492
325.5,95.953,95.9403,0.004446
326.0,95.9465,95.9381,0.004404
326.5,95.9358,95.9361,0.004349
327.0,95.9372,95.934,0.004322
327.5,95.925,95.9319,0.004285
328.0,95.9264,95.9297,0.004259
328.5,95.9309,95.9278,0.004221
329.0,95.9195,95.9255,0.004188
329.5,95.9194,95.9236,0.00417
330.0,95.9147,95.9218,0.004154
330.5,95.9168,95.9194,0.004129
331.0,95.9191,95.9175,0.004093
331.5,95.9226,95.9153,0.00406
332.0,95.9172,95.9134,0.00402
332.5,95.9104,95.9115,0.003982
333.0,95.8987,95.9096,0.003968
333.5,95.9091,95.9077,0.003943
334.0,95.9037,95.9061,0.003911
334.5,95.9168,95.9042,0.003888
335.0,95.8995,95.9022,0.00387
335.5,95.9017,95.8999,0.003853
336.0,95.9019,95.8976,0.003826
336.5,95.8995,95.8958,0.003778
337.0,95.8962,95.8942,0.003746
337.5,95.8922,95.8919,0.003713
338.0,95.8803,95.89,0.003674
338.5,95.8907,95.8884,0.003648
339.0,95.8889,95.8865,0.003617
339.5,95.8836,95.8847,0.003576
340.0,95.8848,95.8832,0.003555
340.5,95.8785,95.8814,0.003531
341.0,95.8723,95.8796,0.00351
341.5,95.8822,95.8778,0.003482
342.0,95.8763,95.8759,0.003445
342.5,95.8726,95.8739,0.003398
343.0,95.8781,95.8721,0.003363
343.5,95.8667,95.8701,0.003317
344.0,95.8713,95.8684,0.003295
344.5,95.8668,95.8668,0.00327
345.0,95.8667,95.8651,0.003246
345.5,95.8589,95.8634,0.003214
346.0,95.8614,95.8613,0.003189
346.5,95.8547,95.8599,0.003146
347.0,95.8592,95.8583,0.003116
347.5,95.8538,95.8572,0.003107
348.0,95.8627,95.8554,0.003083
348.5,95.8622,95.8539,0.003067
349.0,95.8432,95.8524,0.003056
349.5,95.8413,95.8514,0.003037
350.0,95.8526,95.85,0.003024
350.5,95.8496,95.8486,0.002989
351.0,95.8472,95.847,0.002968
351.5,95.8564,95.8459,0.002947
352.0,95.8445,95.8442,0.002928
352.5,95.8382,95.8426,0.002904
353.0,95.8381,95.8413,0.002876
353.5,95.8345,95.8398,0.002842
354.0,95.8439,95.8383,0.002815
354.5,95.8342,95.8369,0.002796
355.0,95.8396,95.8355,0.002784
355.5,95.8294,95.8338,0.002753
356.0,95.8367,95.8327,0.002734
356.5,95.8294,95.8314,0.002712
357.0,95.834,95.8303,0.002696
357.5,95.8353,95.8291,0.002685
358.0,95.83,95.8276,0.002651
358.5,95.8303,95.8262,0.002626
359.0,95.821,95.8249,0.002605
359.5,95.8186,95.8233,0.002584
360.0,95.8202,95.822,0.00255
360.5,95.8239,95.8204,0.002516
361.0,95.8221,95.8192,0.002482
361.5,95.8251,95.8184,0.002463
362.0,95.8053,95.817,0.002444
362.5,95.8163,95.8154,0.002421
363.0,95.8109,95.8144,0.002406
363.5,95.8091,95.8132,0.002408
364.0,95.8024,95.8121,0.002397
364.5,95.8169,95.8113,0.00238
365.0,95.8159,95.8101,0.002367
365.5,95.8072,95.8088,0.002332
366.0,95.8055,95.8073,0.002311
366.5,95.8019,95.806,0.002305
367.0,95.8092,95.8053,0.002284
367.5,95.8063,95.8042,0.002263
368.0,95.8106,95.8034,0.002225
368.5,95.8011,95.8023,0.002205
369.0,95.7993,95.8011,0.002181
369.5,95.7921,95.8,0.002173
370.0,95.7948,95.799,0.002151
370.5,95.805,95.7982,0.002134
371.0,95.7946,95.7973,0.002101
371.5,95.7968,95.7966,0.002087
372.0,95.7992,95.7956,0.002063
372.5,95.7944,95.7943,0.002071
373.0,95.8008,95.7932,0.002049
373.5,95.7967,95.7922,0.00204
374.0,95.7868,95.791,0.002037
374.5,95.7875,95.7901,0.002023
375.0,95.7919,95.7887,0.00202
375.5,95.7822,95.7879,0.001993
376.0,95.7891,95.7868,0.001961
376.5,95.7831,95.7857,0.001952
377.0,95.7827,95.7843,0.001941
377.5,95.7863,95.7834,0.001926
378.0,95.7843,95.7825,0.001911
378.5,95.7935,95.7817,0.001898
379.0,95.7812,95.7806,0.00187
379.5,95.7738,95.7794,0.001861
380.0,95.7745,95.7785,0.001852
380.5,95.7722,95.7776,0.001831
381.0,95.7715,95.7767,0.001825
381.5,95.7805,95.7756,0.001816
382.0,95.7758,95.7745,0.001806
382.5,95.7747,95.7732,0.00179
383.0,95.7715,95.7724,0.001786
383.5,95.7701,95.7717,0.00177
384.0,95.762,95.7709,0.001757
384.5,95.7669,95.77,0.001748
385.0,95.7702,95.7693,0.001737
385.5,95.7662,95.7685,0.001719
386.0,95.7707,95.768,0.001727
386.5,95.7749,95.7671,0.001721
387.0,95.7691,95.7661,0.001703
387.5,95.7709,95.7651,0.00168
388.0,95.7577,95.7643,0.00168
388.5,95.7652,95.7632,0.001672
389.0,95.7595,95.7625,0.00165
