# ============================================================
# UV-Vis (aqueous dispersion, 1 cm path) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - O(2p)->Fe(3d) charge-transfer edge (saturating logistic)
#   - Urbach-type exponential sub-edge tail
#   - Rayleigh/Mie turbidity term proportional to lambda^-2.8
#   - weak ligand-field feature near 640 nm
#   - NOT designed to contain a well-defined optical band gap
# ============================================================
wavelength_nm,absorbance
274.0,2.85514
275.0,2.84641
276.0,2.83521
277.0,2.82765
278.0,2.81617
279.0,2.80567
280.0,2.80073
281.0,2.78705
282.0,2.77468
283.0,2.76589
284.0,2.75974
285.0,2.74796
286.0,2.73597
287.0,2.72542
288.0,2.71829
289.0,2.70776
290.0,2.69465
291.0,2.68463
292.0,2.66998
293.0,2.66121
294.0,2.65416
295.0,2.64051
296.0,2.62793
297.0,2.61743
298.0,2.60674
299.0,2.59418
300.0,2.58284
301.0,2.57167
302.0,2.55699
303.0,2.54907
304.0,2.53771
305.0,2.52205
306.0,2.51465
307.0,2.49933
308.0,2.48823
309.0,2.47739
310.0,2.46294
311.0,2.4506
312.0,2.44119
313.0,2.42924
314.0,2.41717
315.0,2.40128
316.0,2.39168
317.0,2.37964
318.0,2.36623
319.0,2.35303
320.0,2.33977
321.0,2.33056
322.0,2.31558
323.0,2.30522
324.0,2.28799
325.0,2.28018
326.0,2.2666
327.0,2.25515
328.0,2.24292
329.0,2.2323
330.0,2.21703
331.0,2.19765
332.0,2.17387
333.0,2.14838
334.0,2.12634
335.0,2.10506
336.0,2.08246
337.0,2.06014
338.0,2.04157
339.0,2.01988
340.0,2.00013
341.0,1.97794
342.0,1.95615
343.0,1.9368
344.0,1.91947
345.0,1.89927
346.0,1.87893
347.0,1.85516
348.0,1.83748
349.0,1.8186
350.0,1.7986
351.0,1.77969
352.0,1.7645
353.0,1.7401
354.0,1.72694
355.0,1.70944
356.0,1.68957
357.0,1.67375
358.0,1.65456
359.0,1.63544
360.0,1.6213
361.0,1.60356
362.0,1.58538
363.0,1.56961
364.0,1.55203
365.0,1.53817
366.0,1.51975
367.0,1.50434
368.0,1.48968
369.0,1.4764
370.0,1.46036
371.0,1.44704
372.0,1.43065
373.0,1.41481
374.0,1.40303
375.0,1.38482
376.0,1.37172
377.0,1.35885
378.0,1.34298
379.0,1.3316
380.0,1.31751
381.0,1.30351
382.0,1.29159
383.0,1.27746
384.0,1.26593
385.0,1.24748
386.0,1.23933
387.0,1.22737
388.0,1.21312
389.0,1.20414
390.0,1.1918
391.0,1.17827
392.0,1.16363
393.0,1.15752
394.0,1.14345
395.0,1.13369
396.0,1.12211
397.0,1.10914
398.0,1.09954
399.0,1.08817
400.0,1.07877
401.0,1.06962
402.0,1.05741
403.0,1.04694
404.0,1.03781
405.0,1.02951
406.0,1.01772
407.0,1.01079
408.0,0.99878
409.0,0.99153
410.0,0.9815
411.0,0.9745
412.0,0.9613
413.0,0.9543
414.0,0.94656
415.0,0.93845
416.0,0.92822
417.0,0.92026
418.0,0.91114
419.0,0.90483
420.0,0.89652
421.0,0.8854
422.0,0.87963
423.0,0.87309
424.0,0.86363
425.0,0.86002
426.0,0.84937
427.0,0.84312
428.0,0.8346
429.0,0.82727
430.0,0.82204
431.0,0.81444
432.0,0.80993
433.0,0.8025
434.0,0.79377
435.0,0.78826
436.0,0.778
437.0,0.7743
438.0,0.76831
439.0,0.76235
440.0,0.75386
441.0,0.74899
442.0,0.74496
443.0,0.73643
444.0,0.73299
445.0,0.72513
446.0,0.72026
447.0,0.7145
448.0,0.70923
449.0,0.70241
450.0,0.69911
451.0,0.69155
452.0,0.68618
453.0,0.68489
454.0,0.67745
455.0,0.67183
456.0,0.66506
457.0,0.66188
458.0,0.65583
459.0,0.65135
460.0,0.64909
461.0,0.64205
462.0,0.63855
463.0,0.63485
464.0,0.62938
465.0,0.62298
466.0,0.62096
467.0,0.61377
468.0,0.61095
469.0,0.60537
470.0,0.60327
471.0,0.59825
472.0,0.59386
473.0,0.59241
474.0,0.58556
475.0,0.58358
476.0,0.57981
477.0,0.57543
478.0,0.56905
479.0,0.56762
480.0,0.56291
481.0,0.55818
482.0,0.55712
483.0,0.55285
484.0,0.54906
485.0,0.54722
486.0,0.54162
487.0,0.54105
488.0,0.53547
489.0,0.5331
490.0,0.53122
491.0,0.52559
492.0,0.52229
493.0,0.51955
494.0,0.51482
495.0,0.51211
496.0,0.51219
497.0,0.50883
498.0,0.50423
499.0,0.50116
500.0,0.49952
501.0,0.49597
502.0,0.49188
503.0,0.49045
504.0,0.48751
505.0,0.48325
506.0,0.4795
507.0,0.48029
508.0,0.47599
509.0,0.47344
510.0,0.47229
511.0,0.47174
512.0,0.46587
513.0,0.46396
514.0,0.45919
515.0,0.45926
516.0,0.45796
517.0,0.45481
518.0,0.45169
519.0,0.45051
520.0,0.44861
521.0,0.44513
522.0,0.44222
523.0,0.4417
524.0,0.43902
525.0,0.43639
526.0,0.43318
527.0,0.43203
528.0,0.42959
529.0,0.42638
530.0,0.4274
531.0,0.42258
532.0,0.42214
533.0,0.41996
534.0,0.41871
535.0,0.41509
536.0,0.41262
537.0,0.41444
538.0,0.41015
539.0,0.40998
540.0,0.40795
541.0,0.40522
542.0,0.40087
543.0,0.40157
544.0,0.40025
545.0,0.39878
546.0,0.3965
547.0,0.39608
548.0,0.39332
549.0,0.38962
550.0,0.39173
551.0,0.38954
552.0,0.38533
553.0,0.38471
554.0,0.38375
555.0,0.38081
556.0,0.38139
557.0,0.37943
558.0,0.37621
559.0,0.37713
560.0,0.374
561.0,0.37267
562.0,0.36978
563.0,0.37011
564.0,0.36942
565.0,0.36938
566.0,0.36553
567.0,0.36502
568.0,0.3623
569.0,0.36282
570.0,0.35876
571.0,0.35832
572.0,0.35726
573.0,0.35671
574.0,0.35475
575.0,0.35536
576.0,0.3506
577.0,0.35139
578.0,0.35223
579.0,0.34871
580.0,0.34771
581.0,0.34934
582.0,0.34405
583.0,0.34243
584.0,0.34435
585.0,0.34174
586.0,0.3419
587.0,0.3405
588.0,0.34006
589.0,0.33811
590.0,0.33838
591.0,0.33318
592.0,0.33519
593.0,0.33379
594.0,0.33143
595.0,0.33097
596.0,0.32811
597.0,0.32917
598.0,0.32808
599.0,0.32855
600.0,0.32566
601.0,0.32354
602.0,0.32094
603.0,0.32397
604.0,0.32238
605.0,0.32132
606.0,0.3175
607.0,0.3191
608.0,0.31898
609.0,0.3153
610.0,0.31386
611.0,0.31472
612.0,0.31395
613.0,0.31432
614.0,0.31371
615.0,0.31273
616.0,0.31061
617.0,0.30801
618.0,0.30899
619.0,0.30622
620.0,0.30573
621.0,0.30491
622.0,0.30315
623.0,0.30405
624.0,0.30221
625.0,0.30266
626.0,0.30001
627.0,0.29764
628.0,0.29858
629.0,0.29665
630.0,0.29528
631.0,0.29432
632.0,0.29507
633.0,0.29274
634.0,0.29418
635.0,0.29094
636.0,0.29121
637.0,0.28959
638.0,0.28714
639.0,0.28987
640.0,0.2863
641.0,0.2875
642.0,0.28511
643.0,0.28543
644.0,0.28477
645.0,0.28068
646.0,0.28072
647.0,0.27861
648.0,0.2788
649.0,0.2795
650.0,0.27765
651.0,0.27445
652.0,0.27684
653.0,0.27408
654.0,0.27388
655.0,0.27405
656.0,0.27224
657.0,0.27041
658.0,0.27134
659.0,0.2713
660.0,0.26909
661.0,0.26542
662.0,0.26709
663.0,0.26713
664.0,0.26723
665.0,0.2657
666.0,0.26479
667.0,0.26441
668.0,0.26246
669.0,0.2625
670.0,0.26114
671.0,0.26068
672.0,0.25764
673.0,0.25818
674.0,0.25808
675.0,0.25419
676.0,0.25553
677.0,0.25496
678.0,0.25583
679.0,0.25334
680.0,0.25161
681.0,0.25189
682.0,0.25087
683.0,0.24921
684.0,0.24858
685.0,0.24937
686.0,0.24504
687.0,0.24783
688.0,0.2464
689.0,0.24421
690.0,0.24446
691.0,0.24378
692.0,0.24209
693.0,0.24059
694.0,0.2393
695.0,0.23989
696.0,0.23877
697.0,0.23802
698.0,0.23736
699.0,0.23662
700.0,0.23553
701.0,0.23652
702.0,0.23279
703.0,0.233
704.0,0.23342
705.0,0.2323
706.0,0.23245
707.0,0.23026
708.0,0.2286
709.0,0.22876
710.0,0.22749
711.0,0.22612
712.0,0.22541
713.0,0.22433
714.0,0.22426
715.0,0.22564
716.0,0.22322
717.0,0.22224
718.0,0.22291
719.0,0.22152
720.0,0.22041
721.0,0.22099
722.0,0.21921
723.0,0.21632
724.0,0.21758
725.0,0.21835
726.0,0.21461
727.0,0.21388
728.0,0.21292
729.0,0.21345
730.0,0.21246
731.0,0.21288
732.0,0.21205
733.0,0.21198
734.0,0.2089
735.0,0.20765
736.0,0.2095
737.0,0.20763
738.0,0.2059
739.0,0.20358
740.0,0.20511
741.0,0.20593
742.0,0.20528
743.0,0.2054
744.0,0.20199
745.0,0.20157
746.0,0.20098
747.0,0.20071
748.0,0.19959
749.0,0.20026
750.0,0.19884
751.0,0.19876
752.0,0.20012
753.0,0.1979
754.0,0.19589
755.0,0.1948
756.0,0.19438
757.0,0.19321
758.0,0.19317
759.0,0.1936
760.0,0.19207
761.0,0.19178
762.0,0.19045
763.0,0.19129
764.0,0.18893
765.0,0.18959
766.0,0.19022
767.0,0.18841
768.0,0.18624
769.0,0.18805
770.0,0.18632
771.0,0.18394
772.0,0.18392
773.0,0.18381
774.0,0.18414
775.0,0.18217
776.0,0.18343
777.0,0.18206
778.0,0.18374
779.0,0.18088
780.0,0.17936
781.0,0.17937
782.0,0.17947
783.0,0.17978
784.0,0.17853
785.0,0.17695
786.0,0.17543
787.0,0.17655
788.0,0.17675
789.0,0.17464
790.0,0.17542
791.0,0.17596
792.0,0.17225
793.0,0.17273
794.0,0.1731
795.0,0.17072
796.0,0.17294
797.0,0.17002
798.0,0.16988
799.0,0.16903
800.0,0.17017
801.0,0.16841
802.0,0.16806
803.0,0.1676
804.0,0.16868
805.0,0.16729
806.0,0.16551
807.0,0.16692
808.0,0.16457
809.0,0.16476
810.0,0.16503
811.0,0.16378
812.0,0.16487
813.0,0.16263
814.0,0.16284
815.0,0.16393
816.0,0.16335
817.0,0.16194
818.0,0.16012
819.0,0.16177
820.0,0.15898
821.0,0.16129
822.0,0.16158
823.0,0.16008
824.0,0.15996
825.0,0.15883
826.0,0.15921
827.0,0.15884
828.0,0.15731
829.0,0.15775
830.0,0.15625
831.0,0.15624
832.0,0.15589
833.0,0.1541
834.0,0.15575
835.0,0.15566
836.0,0.15467
837.0,0.15357
838.0,0.15405
839.0,0.15218
840.0,0.15371
841.0,0.15226
842.0,0.14965
843.0,0.15368
844.0,0.1506
845.0,0.15183
846.0,0.14984
847.0,0.15148
848.0,0.14988
849.0,0.14811
850.0,0.14953
851.0,0.14817
852.0,0.14964
853.0,0.14714
854.0,0.1496
855.0,0.14654
856.0,0.14594
857.0,0.14917
858.0,0.14817
859.0,0.14287
860.0,0.14525
861.0,0.14576
862.0,0.14701
863.0,0.14565
864.0,0.1445
865.0,0.1434
866.0,0.14439
867.0,0.14498
868.0,0.14329
869.0,0.14346
870.0,0.14312
871.0,0.142
872.0,0.14348
873.0,0.14116
874.0,0.14272
875.0,0.1412
876.0,0.13923
877.0,0.1391
878.0,0.1413
879.0,0.13963
880.0,0.13963
881.0,0.13838
882.0,0.13851
883.0,0.1381
884.0,0.13851
885.0,0.13945
886.0,0.13703
887.0,0.13868
888.0,0.13854
889.0,0.1375
890.0,0.13921
891.0,0.13719
892.0,0.13778
893.0,0.13668
894.0,0.13734
895.0,0.13497
896.0,0.13455
897.0,0.13728
898.0,0.13466
899.0,0.13698
900.0,0.13578
