# ============================================================
# TGA (N2 assumed, 10 C/min, 25-800 C) -- SYNTHETIC DEMONSTRATION DATASET
# ============================================================
# DEMONSTRATION DATASET. Synthetically generated for portfolio purposes. These values were not measured on any instrument and do not describe a real sample.
#
# This file was produced by scripts/generate_synthetic_datasets.py
# for a data-analysis PORTFOLIO project. It is NOT an instrument
# export and must not be cited as experimental evidence.
#
# Hypothetical sample : Fe3O4 (magnetite), cubic inverse spinel, space group Fd-3m (No. 227)
# Random seed         : 20240517
#
# Generative model:
#   - three logistic mass-loss steps at ~78, ~243 and ~522 C
#   - amplitudes 2.60 / 1.70 / 0.60 % of initial mass
#   - NO organic-decomposition step: design assumes no capping agent
#   - INERT atmosphere assumed -> no oxidative mass gain
#   - buoyancy drift + microbalance noise included
# ============================================================
temperature_C,mass_percent,mass_mg
68.0,98.9769,9.73933
68.5,98.9653,9.73818
69.0,98.9441,9.7361
69.5,98.9347,9.73517
70.0,98.9072,9.73247
70.5,98.8987,9.73163
71.0,98.8793,9.72972
71.5,98.8591,9.72773
72.0,98.85,9.72684
72.5,98.8359,9.72546
73.0,98.8163,9.72353
73.5,98.8053,9.72244
74.0,98.7903,9.72097
74.5,98.7753,9.71949
75.0,98.7589,9.71787
75.5,98.7412,9.71614
76.0,98.7304,9.71507
76.5,98.7031,9.71239
77.0,98.6939,9.71148
77.5,98.6767,9.70979
78.0,98.6696,9.70909
78.5,98.6483,9.70699
79.0,98.6354,9.70572
79.5,98.6169,9.70391
80.0,98.5962,9.70186
80.5,98.5854,9.7008
81.0,98.5672,9.69901
81.5,98.5555,9.69786
82.0,98.5367,9.69601
82.5,98.5194,9.69431
83.0,98.5044,9.69283
83.5,98.5017,9.69257
84.0,98.4841,9.69084
84.5,98.463,9.68876
85.0,98.4431,9.6868
85.5,98.4288,9.68539
86.0,98.4049,9.68304
86.5,98.39,9.68157
87.0,98.3861,9.68119
87.5,98.3584,9.67847
88.0,98.3483,9.67747
88.5,98.3367,9.67633
89.0,98.316,9.6743
89.5,98.3085,9.67356
90.0,98.2937,9.6721
90.5,98.2779,9.67055
91.0,98.2692,9.66969
91.5,98.2452,9.66732
92.0,98.2356,9.66638
92.5,98.2221,9.66506
93.0,98.2094,9.66381
93.5,98.1866,9.66156
94.0,98.1783,9.66075
94.5,98.1657,9.6595
95.0,98.1475,9.65771
95.5,98.133,9.65629
96.0,98.1267,9.65567
96.5,98.1021,9.65324
97.0,98.0863,9.65169
97.5,98.0799,9.65106
98.0,98.067,9.6498
98.5,98.0461,9.64773
99.0,98.0466,9.64778
99.5,98.0318,9.64633
100.0,98.0193,9.6451
100.5,97.9982,9.64302
101.0,97.9971,9.64291
101.5,97.9823,9.64146
102.0,97.972,9.64045
102.5,97.9534,9.63861
103.0,97.9451,9.63779
103.5,97.9348,9.63678
104.0,97.9176,9.63509
104.5,97.909,9.63424
105.0,97.9003,9.63339
105.5,97.8804,9.63143
106.0,97.8755,9.63095
106.5,97.8667,9.63008
107.0,97.861,9.62952
107.5,97.8421,9.62767
108.0,97.8231,9.62579
108.5,97.8234,9.62582
109.0,97.8089,9.6244
109.5,97.8066,9.62416
110.0,97.785,9.62205
110.5,97.7787,9.62143
111.0,97.7713,9.6207
111.5,97.7641,9.61999
112.0,97.7567,9.61926
112.5,97.7409,9.61771
113.0,97.7306,9.61669
113.5,97.7272,9.61635
114.0,97.7085,9.61452
114.5,97.7065,9.61432
115.0,97.6986,9.61354
115.5,97.6903,9.61273
116.0,97.6838,9.61209
116.5,97.6771,9.61143
117.0,97.669,9.61063
117.5,97.6519,9.60895
118.0,97.6597,9.60971
118.5,97.64,9.60778
119.0,97.6315,9.60694
119.5,97.6238,9.60618
120.0,97.6184,9.60565
120.5,97.6082,9.60465
121.0,97.6069,9.60452
121.5,97.6037,9.60421
122.0,97.5842,9.60228
122.5,97.5845,9.60232
123.0,97.5696,9.60085
123.5,97.5711,9.60099
124.0,97.5627,9.60017
124.5,97.5547,9.59938
125.0,97.5448,9.59841
125.5,97.5368,9.59762
126.0,97.5343,9.59737
126.5,97.5184,9.59581
127.0,97.5253,9.59649
127.5,97.5069,9.59468
128.0,97.5107,9.59505
128.5,97.5069,9.59468
129.0,97.4905,9.59307
129.5,97.4987,9.59387
130.0,97.4884,9.59285
130.5,97.4877,9.59278
131.0,97.4784,9.59188
131.5,97.4719,9.59124
132.0,97.4695,9.591
132.5,97.458,9.58987
133.0,97.4613,9.59019
133.5,97.446,9.58868
134.0,97.4469,9.58878
134.5,97.4459,9.58868
135.0,97.4303,9.58714
135.5,97.4289,9.58701
136.0,97.4242,9.58654
136.5,97.4184,9.58597
137.0,97.4088,9.58503
137.5,97.4058,9.58474
138.0,97.4048,9.58463
138.5,97.4003,9.58419
139.0,97.4036,9.58451
139.5,97.3969,9.58386
140.0,97.3866,9.58284
140.5,97.381,9.58229
141.0,97.3814,9.58233
141.5,97.3748,9.58168
142.0,97.3663,9.58084
142.5,97.3595,9.58018
143.0,97.3566,9.57989
143.5,97.3497,9.57921
144.0,97.3493,9.57917
144.5,97.3501,9.57925
145.0,97.3452,9.57877
145.5,97.3341,9.57768
146.0,97.3316,9.57743
146.5,97.3411,9.57836
147.0,97.3254,9.57682
147.5,97.3249,9.57677
148.0,97.318,9.57609
148.5,97.3214,9.57643
149.0,97.3124,9.57554
149.5,97.3206,9.57634
150.0,97.3135,9.57565
150.5,97.3075,9.57506
151.0,97.2917,9.5735
151.5,97.2939,9.57372
152.0,97.2851,9.57286
152.5,97.3019,9.57451
153.0,97.2805,9.5724
153.5,97.2831,9.57266
154.0,97.2809,9.57244
154.5,97.2755,9.57191
155.0,97.2617,9.57055
155.5,97.2655,9.57093
156.0,97.2683,9.5712
156.5,97.2673,9.57111
157.0,97.2582,9.5702
157.5,97.2484,9.56925
158.0,97.2486,9.56926
158.5,97.2425,9.56867
159.0,97.2393,9.56835
159.5,97.2454,9.56895
160.0,97.2286,9.5673
160.5,97.2296,9.56739
161.0,97.2293,9.56736
161.5,97.2224,9.56668
162.0,97.2312,9.56755
162.5,97.215,9.56595
163.0,97.2112,9.56558
163.5,97.2095,9.56541
164.0,97.2075,9.56522
164.5,97.2016,9.56463
165.0,97.1932,9.56381
165.5,97.1969,9.56418
166.0,97.1992,9.5644
166.5,97.1916,9.56365
167.0,97.195,9.56399
167.5,97.1776,9.56227
168.0,97.178,9.56231
168.5,97.1749,9.56201
169.0,97.1737,9.56189
169.5,97.1715,9.56167
170.0,97.1715,9.56167
170.5,97.1686,9.56139
171.0,97.1667,9.5612
171.5,97.153,9.55985
172.0,97.1544,9.55999
172.5,97.1501,9.55957
173.0,97.1515,9.55971
173.5,97.134,9.55799
174.0,97.1444,9.55901
174.5,97.152,9.55975
175.0,97.1389,9.55847
175.5,97.1352,9.5581
176.0,97.1331,9.55789
176.5,97.1268,9.55728
177.0,97.1196,9.55657
177.5,97.1137,9.55599
178.0,97.1183,9.55644
178.5,97.1144,9.55606
179.0,97.1075,9.55538
179.5,97.0968,9.55432
180.0,97.1061,9.55524
180.5,97.099,9.55454
181.0,97.1019,9.55483
181.5,97.0958,9.55422
182.0,97.0887,9.55353
182.5,97.0823,9.5529
183.0,97.0769,9.55237
183.5,97.0847,9.55313
184.0,97.0702,9.55171
184.5,97.0723,9.55192
185.0,97.0639,9.55109
185.5,97.0719,9.55187
186.0,97.066,9.5513
186.5,97.0581,9.55052
187.0,97.0515,9.54987
187.5,97.0492,9.54964
188.0,97.0443,9.54916
188.5,97.033,9.54805
189.0,97.0406,9.54879
189.5,97.029,9.54765
190.0,97.0261,9.54737
190.5,97.0311,9.54786
191.0,97.0169,9.54647
191.5,97.0211,9.54688
192.0,97.0149,9.54627
192.5,97.0083,9.54562
193.0,96.9989,9.54469
193.5,97.0043,9.54522
194.0,97.0004,9.54484
194.5,96.9982,9.54462
195.0,96.9819,9.54301
195.5,96.9907,9.54389
196.0,96.9764,9.54248
196.5,96.9831,9.54314
197.0,96.973,9.54214
197.5,96.9692,9.54177
198.0,96.9594,9.5408
198.5,96.9654,9.5414
199.0,96.9583,9.54069
199.5,96.9543,9.5403
200.0,96.9664,9.5415
200.5,96.9449,9.53937
201.0,96.9363,9.53853
201.5,96.9401,9.53891
202.0,96.9381,9.53871
202.5,96.9364,9.53854
203.0,96.9286,9.53777
203.5,96.9235,9.53727
204.0,96.9196,9.53689
204.5,96.923,9.53723
205.0,96.9109,9.53603
205.5,96.8955,9.53451
206.0,96.9043,9.53538
206.5,96.9033,9.53529
207.0,96.9,9.53496
207.5,96.8914,9.53412
208.0,96.8879,9.53377
208.5,96.8815,9.53314
209.0,96.8782,9.53281
209.5,96.8621,9.53123
210.0,96.8709,9.53209
210.5,96.8726,9.53226
211.0,96.864,9.53142
211.5,96.859,9.53093
212.0,96.8509,9.53013
212.5,96.8403,9.52908
213.0,96.8442,9.52947
213.5,96.8355,9.52862
214.0,96.8384,9.5289
214.5,96.8196,9.52705
215.0,96.8275,9.52782
215.5,96.8289,9.52796
216.0,96.8126,9.52636
216.5,96.807,9.52581
217.0,96.8139,9.52649
217.5,96.8064,9.52575
218.0,96.7987,9.52499
218.5,96.7949,9.52462
219.0,96.7952,9.52465
219.5,96.7833,9.52347
220.0,96.7833,9.52348
220.5,96.7848,9.52363
221.0,96.7717,9.52233
221.5,96.7782,9.52297
222.0,96.7646,9.52164
222.5,96.7612,9.52131
223.0,96.7575,9.52094
223.5,96.7517,9.52037
224.0,96.7508,9.52028
224.5,96.7389,9.51911
225.0,96.7272,9.51796
225.5,96.735,9.51873
226.0,96.7209,9.51734
226.5,96.7308,9.51831
227.0,96.7071,9.51598
227.5,96.7077,9.51603
228.0,96.7136,9.51662
228.5,96.6982,9.5151
229.0,96.693,9.51459
229.5,96.6983,9.51511
230.0,96.6954,9.51483
230.5,96.6801,9.51332
231.0,96.6755,9.51287
231.5,96.6686,9.51219
232.0,96.6688,9.51221
232.5,96.6624,9.51158
233.0,96.6583,9.51117
233.5,96.6597,9.51132
234.0,96.6494,9.5103
234.5,96.6522,9.51058
235.0,96.6414,9.50952
235.5,96.6406,9.50943
236.0,96.6336,9.50875
236.5,96.6288,9.50827
237.0,96.625,9.5079
237.5,96.621,9.50751
238.0,96.6085,9.50627
238.5,96.6076,9.50619
239.0,96.6027,9.50571
239.5,96.5888,9.50434
240.0,96.589,9.50436
240.5,96.5898,9.50443
241.0,96.5855,9.50401
241.5,96.5802,9.50349
242.0,96.5675,9.50225
242.5,96.5649,9.50199
243.0,96.558,9.50131
243.5,96.5609,9.50159
244.0,96.5528,9.5008
244.5,96.5529,9.5008
245.0,96.5414,9.49967
245.5,96.5371,9.49925
246.0,96.535,9.49905
246.5,96.5344,9.49898
247.0,96.5259,9.49815
247.5,96.5166,9.49723
248.0,96.5173,9.4973
248.5,96.5163,9.4972
249.0,96.5058,9.49618
249.5,96.5016,9.49576
250.0,96.5014,9.49574
250.5,96.4936,9.49497
251.0,96.487,9.49432
251.5,96.4823,9.49386
252.0,96.4728,9.49293
252.5,96.4685,9.4925
253.0,96.4638,9.49204
253.5,96.4614,9.4918
254.0,96.4581,9.49147
254.5,96.4555,9.49122
255.0,96.4529,9.49097
255.5,96.443,9.48999
256.0,96.4351,9.48922
256.5,96.4315,9.48886
257.0,96.4321,9.48892
257.5,96.4209,9.48782
258.0,96.4164,9.48737
258.5,96.4214,9.48787
259.0,96.4145,9.48719
259.5,96.4031,9.48606
260.0,96.3946,9.48523
260.5,96.4072,9.48646
261.0,96.3959,9.48535
261.5,96.3927,9.48504
262.0,96.3809,9.48388
262.5,96.3853,9.48431
263.0,96.3733,9.48313
263.5,96.3707,9.48288
264.0,96.3661,9.48242
264.5,96.3579,9.48162
265.0,96.3558,9.48141
265.5,96.3478,9.48063
266.0,96.3421,9.48006
266.5,96.336,9.47946
267.0,96.3405,9.4799
267.5,96.3267,9.47855
268.0,96.3316,9.47903
268.5,96.3279,9.47867
269.0,96.3223,9.47812
269.5,96.3157,9.47747
270.0,96.3151,9.47741
270.5,96.3036,9.47628
271.0,96.2998,9.4759
271.5,96.3047,9.47639
272.0,96.2973,9.47565
272.5,96.2944,9.47537
273.0,96.286,9.47455
273.5,96.2803,9.47398
274.0,96.2903,9.47496
274.5,96.2775,9.47371
275.0,96.2682,9.47279
275.5,96.2653,9.47251
276.0,96.2619,9.47218
276.5,96.2503,9.47103
277.0,96.2474,9.47074
277.5,96.2432,9.47033
278.0,96.2442,9.47043
278.5,96.2348,9.4695
279.0,96.2399,9.47
279.5,96.2302,9.46905
280.0,96.224,9.46844
280.5,96.2201,9.46806
281.0,96.2178,9.46783
281.5,96.2114,9.4672
282.0,96.2067,9.46674
282.5,96.2033,9.4664
283.0,96.2001,9.46609
283.5,96.2059,9.46666
284.0,96.1949,9.46557
284.5,96.1915,9.46525
285.0,96.1807,9.46418
285.5,96.1837,9.46448
286.0,96.1748,9.4636
286.5,96.1771,9.46383
287.0,96.1664,9.46278
287.5,96.1624,9.46238
288.0,96.1624,9.46238
288.5,96.153,9.46145
289.0,96.1555,9.4617
289.5,96.1451,9.46068
290.0,96.157,9.46185
290.5,96.1436,9.46053
291.0,96.1461,9.46078
291.5,96.144,9.46057
292.0,96.1436,9.46053
292.5,96.1279,9.45899
293.0,96.124,9.4586
293.5,96.1237,9.45857
294.0,96.1201,9.45821
294.5,96.1142,9.45764
295.0,96.1169,9.4579
295.5,96.1137,9.45759
296.0,96.1024,9.45648
296.5,96.1023,9.45646
297.0,96.1055,9.45678
297.5,96.0962,9.45587
298.0,96.0887,9.45512
298.5,96.079,9.45417
299.0,96.086,9.45486
299.5,96.0767,9.45394
300.0,96.0772,9.454
300.5,96.0763,9.45391
301.0,96.0741,9.45369
301.5,96.0624,9.45254
302.0,96.07,9.45329
302.5,96.0656,9.45285
303.0,96.0547,9.45178
303.5,96.0587,9.45217
304.0,96.0543,9.45175
304.5,96.042,9.45054
305.0,96.0488,9.45121
305.5,96.0376,9.4501
306.0,96.0424,9.45057
306.5,96.0413,9.45046
307.0,96.0385,9.45019
307.5,96.0321,9.44956
308.0,96.0341,9.44975
308.5,96.024,9.44876
309.0,96.0247,9.44883
309.5,96.0329,9.44964
310.0,96.0205,9.44842
310.5,96.0181,9.44819
311.0,96.0145,9.44783
311.5,96.0107,9.44746
312.0,96.0098,9.44736
312.5,96.003,9.4467
313.0,96.0019,9.44659
313.5,96.0031,9.4467
314.0,95.9941,9.44582
314.5,95.9928,9.4457
315.0,95.9858,9.445
315.5,95.9864,9.44506
316.0,95.9836,9.44479
316.5,95.9858,9.445
317.0,95.9876,9.44518
317.5,95.9707,9.44351
318.0,95.9731,9.44375
318.5,95.9702,9.44347
319.0,95.9713,9.44358
319.5,95.9718,9.44363
320.0,95.9638,9.44284
320.5,95.9623,9.44269
321.0,95.968,9.44325
321.5,95.9612,9.44258
322.0,95.9497,9.44145
322.5,95.9478,9.44126
323.0,95.9461,9.44109
323.5,95.9468,9.44116
324.0,95.9478,9.44127
324.5,95.9408,9.44057
325.0,95.9458,9.44107
325.5,95.953,9.44177
326.0,95.9465,9.44113
326.5,95.9358,9.44009
327.0,95.9372,9.44022
327.5,95.925,9.43902
328.0,95.9264,9.43915
328.5,95.9309,9.4396
329.0,95.9195,9.43848
329.5,95.9194,9.43847
330.0,95.9147,9.43801
330.5,95.9168,9.43822
331.0,95.9191,9.43844
331.5,95.9226,9.43879
332.0,95.9172,9.43825
332.5,95.9104,9.43758
333.0,95.8987,9.43643
333.5,95.9091,9.43746
334.0,95.9037,9.43693
334.5,95.9168,9.43821
335.0,95.8995,9.43651
335.5,95.9017,9.43672
336.0,95.9019,9.43675
336.5,95.8995,9.43652
337.0,95.8962,9.43619
337.5,95.8922,9.43579
338.0,95.8803,9.43462
338.5,95.8907,9.43564
339.0,95.8889,9.43546
339.5,95.8836,9.43495
340.0,95.8848,9.43506
340.5,95.8785,9.43444
341.0,95.8723,9.43384
341.5,95.8822,9.43481
342.0,95.8763,9.43422
342.5,95.8726,9.43387
343.0,95.8781,9.4344
343.5,95.8667,9.43328
344.0,95.8713,9.43373
344.5,95.8668,9.43329
345.0,95.8667,9.43329
345.5,95.8589,9.43252
346.0,95.8614,9.43276
346.5,95.8547,9.4321
347.0,95.8592,9.43254
347.5,95.8538,9.43202
348.0,95.8627,9.43289
348.5,95.8622,9.43284
349.0,95.8432,9.43097
349.5,95.8413,9.43078
350.0,95.8526,9.43189
350.5,95.8496,9.4316
351.0,95.8472,9.43136
351.5,95.8564,9.43227
352.0,95.8445,9.4311
352.5,95.8382,9.43048
353.0,95.8381,9.43047
353.5,95.8345,9.43012
354.0,95.8439,9.43104
354.5,95.8342,9.43009
355.0,95.8396,9.43062
355.5,95.8294,9.42962
356.0,95.8367,9.43033
356.5,95.8294,9.42961
357.0,95.834,9.43007
357.5,95.8353,9.43019
358.0,95.83,9.42967
358.5,95.8303,9.4297
359.0,95.821,9.42878
359.5,95.8186,9.42855
360.0,95.8202,9.4287
360.5,95.8239,9.42907
361.0,95.8221,9.42889
361.5,95.8251,9.42919
362.0,95.8053,9.42725
362.5,95.8163,9.42832
363.0,95.8109,9.42779
363.5,95.8091,9.42762
364.0,95.8024,9.42695
364.5,95.8169,9.42838
365.0,95.8159,9.42829
365.5,95.8072,9.42742
366.0,95.8055,9.42726
366.5,95.8019,9.42691
367.0,95.8092,9.42763
367.5,95.8063,9.42734
368.0,95.8106,9.42777
368.5,95.8011,9.42683
369.0,95.7993,9.42666
369.5,95.7921,9.42594
370.0,95.7948,9.42621
370.5,95.805,9.42722
371.0,95.7946,9.42619
371.5,95.7968,9.42641
372.0,95.7992,9.42664
372.5,95.7944,9.42617
373.0,95.8008,9.42679
373.5,95.7967,9.42639
374.0,95.7868,9.42543
374.5,95.7875,9.42549
375.0,95.7919,9.42593
375.5,95.7822,9.42497
376.0,95.7891,9.42565
376.5,95.7831,9.42506
377.0,95.7827,9.42501
377.5,95.7863,9.42537
378.0,95.7843,9.42517
378.5,95.7935,9.42608
379.0,95.7812,9.42487
379.5,95.7738,9.42414
380.0,95.7745,9.42421
380.5,95.7722,9.42398
381.0,95.7715,9.42391
381.5,95.7805,9.4248
382.0,95.7758,9.42433
382.5,95.7747,9.42423
383.0,95.7715,9.42392
383.5,95.7701,9.42378
384.0,95.762,9.42298
384.5,95.7669,9.42347
385.0,95.7702,9.42379
385.5,95.7662,9.42339
386.0,95.7707,9.42383
386.5,95.7749,9.42425
387.0,95.7691,9.42368
387.5,95.7709,9.42386
388.0,95.7577,9.42256
388.5,95.7652,9.4233
389.0,95.7595,9.42274
389.5,95.7667,9.42344
390.0,95.7611,9.42289
390.5,95.7618,9.42296
391.0,95.7529,9.42208
391.5,95.7573,9.42252
392.0,95.7583,9.42262
392.5,95.7571,9.4225
393.0,95.7561,9.4224
393.5,95.7606,9.42284
394.0,95.7591,9.4227
394.5,95.7585,9.42264
395.0,95.7596,9.42275
395.5,95.7466,9.42147
396.0,95.7517,9.42196
396.5,95.7447,9.42128
397.0,95.7471,9.42151
397.5,95.7452,9.42133
398.0,95.7443,9.42124
398.5,95.7429,9.4211
399.0,95.7512,9.42192
399.5,95.7478,9.42158
400.0,95.7483,9.42163
400.5,95.7472,9.42153
401.0,95.7488,9.42169
401.5,95.7421,9.42103
402.0,95.7442,9.42123
402.5,95.7432,9.42113
403.0,95.7351,9.42033
403.5,95.7416,9.42097
404.0,95.7461,9.42141
404.5,95.7433,9.42114
405.0,95.7417,9.42099
405.5,95.7308,9.41991
406.0,95.7398,9.4208
406.5,95.7319,9.42002
407.0,95.7366,9.42048
407.5,95.7277,9.4196
408.0,95.7349,9.42031
408.5,95.7318,9.42001
409.0,95.734,9.42023
409.5,95.7281,9.41965
410.0,95.7366,9.42049
410.5,95.728,9.41964
411.0,95.7321,9.42004
411.5,95.7344,9.42027
412.0,95.7252,9.41936
412.5,95.7339,9.42022
413.0,95.7165,9.41851
413.5,95.7216,9.419
414.0,95.7264,9.41948
414.5,95.7231,9.41916
415.0,95.7229,9.41913
415.5,95.7186,9.41871
416.0,95.7239,9.41923
416.5,95.7156,9.41842
417.0,95.718,9.41865
417.5,95.7208,9.41892
418.0,95.7119,9.41805
418.5,95.7149,9.41834
419.0,95.7213,9.41897
419.5,95.7133,9.41819
420.0,95.711,9.41796
420.5,95.7162,9.41847
421.0,95.7139,9.41824
421.5,95.71,9.41787
422.0,95.7187,9.41872
422.5,95.7108,9.41794
423.0,95.7076,9.41762
423.5,95.7164,9.41849
424.0,95.7037,9.41724
424.5,95.7101,9.41788
425.0,95.7072,9.41759
425.5,95.7118,9.41804
426.0,95.7069,9.41756
426.5,95.6945,9.41634
427.0,95.7003,9.41691
427.5,95.7083,9.41769
428.0,95.7034,9.41721
428.5,95.6942,9.41631
429.0,95.703,9.41717
429.5,95.692,9.41609
430.0,95.6961,9.4165
430.5,95.7031,9.41718
431.0,95.695,9.41638
431.5,95.6957,9.41645
432.0,95.6865,9.41555
432.5,95.6898,9.41587
433.0,95.6964,9.41653
433.5,95.6964,9.41653
434.0,95.6941,9.4163
434.5,95.6945,9.41634
435.0,95.6981,9.41669
435.5,95.6941,9.4163
436.0,95.6808,9.41499
436.5,95.6906,9.41595
437.0,95.6928,9.41617
437.5,95.6816,9.41507
438.0,95.6875,9.41565
438.5,95.6882,9.41572
439.0,95.6879,9.41569
439.5,95.6843,9.41534
440.0,95.6812,9.41503
440.5,95.6802,9.41493
441.0,95.679,9.41482
441.5,95.6784,9.41476
442.0,95.6748,9.4144
442.5,95.6768,9.41459
443.0,95.6754,9.41446
443.5,95.6886,9.41576
444.0,95.6684,9.41377
444.5,95.6775,9.41467
445.0,95.6703,9.41395
445.5,95.6673,9.41367
446.0,95.6727,9.4142
446.5,95.6684,9.41377
447.0,95.6672,9.41365
447.5,95.6736,9.41428
448.0,95.661,9.41305
448.5,95.6613,9.41307
449.0,95.6642,9.41336
449.5,95.6662,9.41355
450.0,95.6649,9.41342
450.5,95.6629,9.41323
451.0,95.6608,9.41302
451.5,95.655,9.41245
452.0,95.6494,9.4119
452.5,95.6504,9.412
453.0,95.6485,9.41182
453.5,95.651,9.41206
454.0,95.6596,9.4129
454.5,95.6621,9.41315
455.0,95.6458,9.41155
455.5,95.6462,9.41159
456.0,95.6477,9.41173
456.5,95.6508,9.41204
457.0,95.6475,9.41171
457.5,95.6504,9.412
458.0,95.6403,9.411
458.5,95.6394,9.41092
459.0,95.6483,9.41179
459.5,95.6464,9.41161
460.0,95.6422,9.41119
460.5,95.6324,9.41023
461.0,95.6373,9.41071
461.5,95.6291,9.4099
462.0,95.6367,9.41065
462.5,95.6333,9.41032
463.0,95.638,9.41078
463.5,95.6211,9.40911
464.0,95.6286,9.40986
464.5,95.6365,9.41063
465.0,95.6286,9.40986
465.5,95.6284,9.40983
466.0,95.6172,9.40873
466.5,95.6208,9.40909
467.0,95.6198,9.40899
467.5,95.6206,9.40907
468.0,95.6178,9.40879
468.5,95.6211,9.40912
469.0,95.6208,9.40908
469.5,95.6138,9.4084
470.0,95.6103,9.40805
470.5,95.6047,9.4075
471.0,95.6122,9.40825
471.5,95.6075,9.40778
472.0,95.6135,9.40837
472.5,95.6032,9.40736
473.0,95.601,9.40714
473.5,95.5992,9.40696
474.0,95.6048,9.40752
474.5,95.596,9.40664
475.0,95.5986,9.4069
475.5,95.5932,9.40637
476.0,95.6004,9.40708
476.5,95.599,9.40694
477.0,95.5986,9.4069
477.5,95.585,9.40557
478.0,95.5879,9.40585
478.5,95.5882,9.40588
479.0,95.5786,9.40493
479.5,95.5755,9.40463
480.0,95.5901,9.40606
480.5,95.5802,9.40509
481.0,95.5831,9.40538
481.5,95.5663,9.40373
482.0,95.5709,9.40418
482.5,95.5779,9.40486
483.0,95.5635,9.40345
483.5,95.5799,9.40507
484.0,95.5728,9.40437
484.5,95.5813,9.4052
485.0,95.5644,9.40354
485.5,95.5684,9.40393
486.0,95.5599,9.40309
486.5,95.5577,9.40288
487.0,95.565,9.4036
487.5,95.5562,9.40273
488.0,95.5558,9.40269
488.5,95.5596,9.40306
489.0,95.5618,9.40328
489.5,95.55,9.40212
490.0,95.5541,9.40252
490.5,95.5482,9.40194
491.0,95.5524,9.40236
491.5,95.5428,9.40141
492.0,95.553,9.40242
492.5,95.5547,9.40258
493.0,95.535,9.40064
493.5,95.5383,9.40096
494.0,95.5344,9.40059
494.5,95.5383,9.40097
495.0,95.5405,9.40118
495.5,95.53,9.40015
496.0,95.5371,9.40085
496.5,95.5343,9.40058
497.0,95.526,9.39976
497.5,95.5222,9.39938
498.0,95.5192,9.39909
